en,hmr
of one particular clan or tribe,Chibil (adj)
"exactly, actual",Chie (prn)
"to put in water, etc., to soak, to dip",Chie (v)
to soften by soaking or dipping (in liquid),Chie hnip (v)
"to immerse, to soak",Chie pil (v)
"hard, with one's might, vehemently",Chiem (adj)
"correct, proper, clear, plain",Chieng (adj)
"evidently, certainly, clearly, correctly, plainly",Chieng takin (adv)
"to grumble, murmur, complain",Chier (v)
"to keep on complaining, grumbling",Chierinthluok (v)
"to mark, to remember",Chik (adj)
"to spurt out (liquid) spotted; to cut open (bamboos) and split them for matting, to pit, to dent, to chip, etc",Chik (v)
"careful, unabridged",Chîk (adj)
a cake of salt,Chikhawn (n)
a salt spring,Chikhur (n)
carefully,Chîktakin (adv)
saliva,Chil (n)
"to pinch, to pin down",Chil (v)
"crashing or thrashing with leg, to tread out ‘as grain’, to stamp",Chìl (v)
swallowing of one’s saliva which goes the wrong way and makes one choke or catch one’s breath,Chil inthal (v)
to spit through the teeth,Chilchik (v)
foam (of mouth),Chilphuon (n)
to spit through the fingers,Chilpik (v)
salivating by seeing edible items,Chilput (v)
"water brash, excess accumulation of saliva in the mouth",Chilriel (n)
a kind of water-brash with copious flow of saliva,Chilriel (n)
to spit,Chilsak (v)
limestone,Chilung (n)
a Hmar Ngurte sub clan,Chiluon (n)
"to collapse, to fall down",Chim (v)
"to submerge, to crowd round, to overflow",Chîm (v)
to be a nuisance,Chim um (adj)
"to trouble, to interrupt",Chîmbuoi (adv)
"to die out (as a race, etc), to become extinct",Chimit (v)
"to submerge, to crowd round, to overflow",Chîmpil (v)
name of a tribe,Chin (n)
entangle,Chin (adj)
"since, as far as",Chin (prp)
"small, tiny, little",Chîn (adj)
limit,Chin lem (adj)
"petty, insignificant, small",Chin tham (adj)
"from the time, since, from",Chinah (adv)
"lime, cooked lime pasted on betel leaf and eaten along with nut",Chinai (n)
limestone,Chinai lung (n)
all about,Chinchang (n)
to know all about,Chinchang hrie (v)
"one is in the know how, a well-informed person",Chinchang hrie mi (n)
"guard, look after (esp animals)",Ching (n)
"barren, impotent, childless, to be barren",Ching (adj)
"habit, practice as a habit",Chîng (v)
"to plant, to sow, to be in the habit of using",Chîng (v)
"more than others, bigger or higher than the rest",Chingchihlip (adj)
the name of a large black spider,Chingchip (n)
"destroy, make it as problematic",Chingpen (v)
the name of a large owl,Chingpirinu (n)
a Hindi originated term for sugar,Chini (n)
"limit, perimeter",Chinlem (adj)
to have limit,Chinlem nei (adv)
limitless,Chinlem neilo (adv)
to finely cut small items by the mouth,Chip (v)
"finely, in small pieces, to powder",Chip (adj)
the name of a small bird,Chîp (n)
"to shut, to close (as a cut, mouth, etc)",Chîp (v)
"thorough, detail, minute",Chipchier (adj)
"minutely in detail, thoroughly",Chipchier takin (adv)
name of a species of bird,Chîprâng (n)
"of the same clan, family",Chipui (adj)
mud,Chir (n)
a term used to woo chickens,Chir chir (n)
"a bog, swamp, muddy",Chirdup (n)
mud,Chirhak (n)
"mud, mire, muddy",Chirhdiek (n)
to be in complete disarray or delirium mostly due to alcohol,Chiri (v)
name of a Hmar kindred (unau-suopui) tribe settled in Manipur,Chiru (n)
"very small, very little (in size), very tiny",Chite (adj)
expression of the smallest or tiniest (in size),Chite maimawng (adv)
little by little,Chite te in (adv)
"very small, very little, very tiny (in size)",Chiterek (adj)
"posterity, a descendant",Chithla (n)
"ancestor, forefather",Chithlatu (n)
"sugar, sweets",Chithlum (n)
"every, all",Chitin (adj)
every tribe and nation,Chitin-hnamtin (n)
"to prick, to stab",Chiu (v)
"to dig a hole, to dig, to hoe",Cho (n)
to challenge,Cho (v)
to stir,Chok (v)
"to stir up, to cause a disturbance",Chokbuoi (v)
to level,Chokcham (v)
to disturb thoroughly,Chokchawrawi (v)
"to cause disturbance, to throw into confusion or disorder",Chokhnok (v)
"to arouse, awake",Chokphur (v)
to mix together,Chokpol (n)
a small pieces of wood use to light the bigger ones,Chokrol (n)
"to mix up, to blend",Chokruol (v)
to provoke and put others at loggerhead,Choktuo (v)
yeast,Chol (n)
a Hmar Ngente sub clan,Cholngong (n)
the wall lizard,Cholru (n)
a poetical term for alcohol or ‘zu’,Choltui (n)
to join or take part in a festival or feast,Chongchen (v)
a Hmar Zote sub clan,Chonghau (n)
a Hmar Ngente sub clan,Chonghawi (n)
a Hmar Thiek sub clan,Chonghekte (n)
a sub clan under Banzang clan of Hmar Darngawn,Chonghmunte (n)
a Hmar Ngente sub clan,Chonghoi (n)
the cobra,Chongkor (n)
"the evening star, the Venus",Chongmawi (n)
a type of traditional Hmar marriage almost similar to child marriage,Chongmolak (n)
a Hmar Biete sub clan,Chongngo (n)
a variety of wild tree,Chongpereng (n)
a Hmar Zote sub clan,Chongsiekim (n)
a pre-Christian era Hmar folk goddess believed to have control over all wild animals,Chongtinler (n)
a Hmar Zote sub clan,Chongtuoltu (n)
a Hmar Zote sub clan,Chongvawr (n)
the sparrow,Chongzawng (n)
a Hmar Zote sub clan,Chonkhup (n)
a Hmar Thiek sub clan,Chonnel (n)
a sub clan under Hmar Lawitlang Sungte,Chonsim (n)
a sub clan of Hmar Lusei,Chonzik (n)
"immediate, to close, instant",Chopchil (adj)
"immediate, to close, instant",Choplechil (adj)
name of a Hmar kindred (unau-suopui) tribe settled in Assam,Chorei (n)
name of a Hmar kindred (unau-suopui) tribe settled in Manipur and Barak valley areas of Assam,Chothe (n)
to stir up strife or a quarrel between two parties,Chotuo (v)
chow/chowmein,Chou (n)
kitchen,Chouka (n)
"a type of chair made of bamboo, cane and animal skin, etc",Chouki (n)
"to claim, to snatch up (as goods when house is on fire)",Chu (v)
"that, which, who; the, this, that",Chu (prn)
that much,Chu chen chu (adv)
"that, this",Chu chu (prn)
"about that matter, with regard to that",Chu chungchang chu (n)
"besides, moreover, in addition to that",Chu naw khom chu (conj)
to selfishly or greedily acquire all one can for oneself,Chuhel (v)
"to bite (as a snake), to peck, to peck up; putting a dot when writing",Chuk (v)
a large species of cockroach,Chukchu (n)
to join together,Chuktuo (v)
a joint,Chuktuona (n)
a jhumland of the previous year,Chul (n)
"to become old, to fade",Chul (v)
to stroke tenderly,Chûl (v)
to level on the brim of a container,Chûlcham (adj)
"therefore, hence",Chuleiin (adv)
to be on friendly term with,Chûlnel (v)
"to punch, to strike with the fist",Chum (n)
the pole in a roof going lengthways on the top of the rafters,Chûm (n)
"fat, chubby, to be fat, chubby",Chûm (adj)
the name of a brass griddle,Chumchi (n)
"then, and so, (used to introduce a sentence)",Chun (prpn)
if,Chun (conj)
poetical term for mother,Chun (n)
poetical term for mother and father,Chun le zuo (n)
"top, up, upper",Chung (adj)
"looked up upon, to regard highly of",Chung en (v)
"God, the Almighty",Chung Pathien (n)
"to woe, to be sad, to be burdened, to be in dire strait",Chung pik (v)
"upper, higher up",Chung tieng (adj)
"on, above, upon",Chungah (prpn)
"about of, concerning, regarding",Chungchang (prpn)
an elevated floor house – a typical Hmar traditional house style,Chungchawi in (n)
the split bamboo on the roof a traditional Hmar house,Chungdal (n)
"upper, higher",Chunghnung (adj)
"uppermost, most high",Chunghnungtak (adj)
"flying creatures, birds, insects, etc",Chungleng (n)
"woes, anguish, misery",Chungpikna (n)
poetical term for mother,Chunnu (n)
"faded, old looking, to fade (as a flower)",Chuoi (adj)
a species of immortelle,Chuoi lo (adj)
name of flower,Chuoilo par (n)
poetical term for visit or drop by,Chuon (v)
"the lower part (of a village, jhum, etc)",Chuonchung (n)
a chicken comb,Chuong (n)
"to get on top of, to be on top of, to sit upon, to mount, to ride, to embark, etc",Chuong (v)
the left over; without an owner,Chuong (adj)
"plural form of that or this; those, these",Chuong (prn)
"if so, if that is the case",Chuong a ni chun (conj)
"like that, in that manner",Chuong ang bok chun (adv)
"that so much, such a large number",Chuong zozai (adv)
"so, so then, therefore, etc",Chuongchun (conj)
those,Chuonghai chu (prn)
to reach,Chuongkai (v)
clitoris,Chuongkilik (n)
"the lower part (of a village, jhum, etc)",Chuonhnuoi (n)
the lungs,Chuop (n)
"puckered, wrinkled, creased, to be puckered",Chuor (adj)
"dumb, dull, silly, slow in understanding things",Chut (adj)
"in there, at that place, thereunto",Chutaka chun (adv)
"from thereon, since then, from that place",Chutaka inthok chun (adv)
the one from there,Chutaka mi chu (adv)
