en,hmr
"to take along, to carry along (without much ado or trouble or easily)",Fenhleng (v)
one of the oldest Hmar traditional shawl,Fenngo (n)
a Hmar traditional shawl,Fensen (n)
"a Hmar Khawbungamzar (n), the leaves placed on the grave of the death; a traditional pre-Christian ritual performed after the death of a man",Fente (n)
a Hmar Khawbung sub clan,Fente (n)
to suck (as sugarcane),Fep (v)
stunted or dwarfed in growth,Fere (adj)
french,Feren (n)
French mustard (the seed of which was believed to brought home by those who went as far as French during World War I),Feren antram (n)
farewell,Feruel (n)
"strict, particular, meticulous",Fet (adj)
to pass through,Fethleng (v)
fee,Fi (n)
"to prove, to test, to make sure",Fie (v)
"plain, distinct, clear",Fie (adj)
"obscure, not clear, blurred",Fie lo (adj)
"to ask, to invite",Fiel (v)
"to lark, to play with, to amuse with, jokingly",Fiem (v)
"a joke, humour",Fiemthu (n)
"to joke, to jest, to tell a funny story",Fiemthu thaw (v)
"comedian, humorist",Fiemthu thiem (v)
"private, secluded, solitary",Fienriel (adj)
the water of a small stream proverbially used to denote crystal clear water,Fieratui (n)
the water of a small stream proverbially used to denote crystal clear water,Fiertui (n)
"to be out of clutches of, emancipated, to be free from",Fihlim (v)
"to cut through at one blow, at one blow",Fik (v)
"bare, cleaned, uncovered",Fil (adj)
field,Fîl (n)
"the protruding or projecting end of anything, exceptionally higher, taller, bigger than the rest of",Filor (n)
"clear, transparent, to be clear, etc.",Fîm (adj)
a Hmar Lungtau sub clan,Fimate (n)
"to be careful, to be wary, to keep a good lookout, to take heed to one's self, careful",Fimkhur (v)
careless,Fimkhur lo (adj)
carefully,Fimkhur takin (adv)
"as a matter of precaution, as a precautionary measure",Fimkhur thuah (adv)
"to join, to unite with, to add up",Fin (v)
"to proof, to test",Finfie (v)
"proof, test",Finfiena (n)
"a measurement, about a furlong",Fîng (n)
"to come together, to put together",Finkhawm (v)
"to mix together, to add together",Finkhawm (v)
one who joint or unite or add up,Fintu (n)
"hard, solid",Fip (adj)
"mean, stingy, miserly, to be mean",Fîr (adj)
"extremist, revolutionaries (armed)",Firfiek (n)
flag,Flek (n)
"erect, to get erected",Fok (v)
collect,Fom (v)
"the handle part of (a knife, dao)",Fong (n)
roam around leisurely,For (v)
free,Fri (adj)
fridge,Frids (n)
"to alight, to settle, to roost, to perch",Fu (v)
"cobs (maize, etc)",Fu (n)
"to advice, to encourage, to urges",Fui (v)
"to stir up, to inflame, to stimulate, to provoke",Fuipor (v)
"just at the right time or in the right place, in the nick of time, straight so as to hit the object aimed at",Fûk (adv)
"properly, systematic, orderly",Fumfe (adv)
"a measurement equal to the length of the closed fist or fingers (about 4 inches) and the term used to measure the size of pig, wild boar etc",Fùn (n)
"to wrap up (in a parcel or bundle), to enclose (as fish in a net), to bring (cooked food) with one wrapped up in a leaf",Fûn (v)
the walking stick,Funghrol (n)
a powder horn,Fungki (n)
a wrapper,Funna (n)
"to sag long, low",Fuol (adj)
a swarm of fish gathered together for spawning,Fuon (v)
a variety of wild tree,Fuonber (n)
to gather together,Fuonkhawm (v)
"the rainy season, monsoon",Fûr (n)
the clear monsoon sky,Fûr khawthieng (n)
football,Futbawl (n)
