en,hmr
"accidental, unintentional (adv), accidentally, unintentionally, by chance",Pàngpal (adj)
"fins (of fish), etc",Pângpar (n)
a kind of cotton yielded by the tree,Pangpat (n)
the name of a large hairy caterpillar,Pangrem (n)
"the skin, substance, form",Pangti (n)
smooth skin,Pangti nam (adj)
a sub clan under Hmar Thiek Vankal,Pangulte (n)
"bone chilling, scary or frightening (which even make the skin to get tickle)",Pangzatum (adj)
to have many wounds and scars on the body,Pânin bawm (adv)
"sore, ulcer, injury, etc",Panna (n)
an infected carbuncle or inflamed sore,Panna huoisuol (n)
to have multiple scar or sore in the body,Panna in bawm (adj)
scab,Panna khir (n)
"a species of edible creeping plant, a betel leaf",Panruong (n)
the upper or higher side (of a house on a hill side),Pansak (n)
neighbours,Pansak-panthlang (n)
those living in the upper side of one’s house,Pansakhai (n)
inflamed wounds,Pansie (n)
a variety of wild strawberry fruit,Pantha (n)
the lower side (of a house on a hill side),Panthlang (n)
those living in the lower side of one’s house,Panthlanghai (n)
a negative repercussion,Pâp (n)
a species of edible fungus,Papal (n)
a species of edible fungus,Papar (n)
to look to exclusively (to do anything),Papek (v)
"a married man, one’s father’s elder brothers",Papui (n)
a middle-aged married man,Papuitebob (n)
"to open up (as a flower, etc), to spread out (one’s wing)",Par (v)
"a flower, a blossom",Pâr (n)
"to enjoy a happy situation, to frolic",Par tlan (v)
"nectar, honey (in the flower)",Par zu (n)
paradise,Paradis (n)
a Hmar Zote sub clan,Parate (n)
the name of a variety of mushroom,Parawmau (n)
cauliflower,Parbawr (n)
broccoli,Parbawr hring (n)
a curtain (originated from Hindi term of ‘purdah’),Parda (n)
father and sons,Pareng (n)
eight,Pariet (adj)
eighth,Parietna (n)
parking,Parking (n)
to harvest by cutting off the ears of grain and leaving the stalks standing,Parlak (v)
name of a variety of weed with soft flower,Pârnêm (n)
a divorced man or a widower or an old bachelor or a man living all alone away from his family,Parol (n)
parcel,Parsel (n)
percent,Parsen (n)
a flower; a poetic word for girlfriend,Parte (n)
a garland of flowers,Parthri (n)
party,Parti (n)
six,Paruk (adj)
sixth,Parukna (adj)
the name of a variety of mushroom,Paruomau (n)
a pigeon,Parva (n)
a variety of wild mushroom,Pasainakawr (n)
a variety of wild mushroom,Pasainam (n)
"a male, a man, a husband, one’s husband",Pasal (n)
"to marry a man, to have a husband",Pasal nei (v)
a variety of wild tree,Pasaltakaza (n)
a young boy,Pasalte (n)
shawl of the warrior,Pasaltha puon (n)
"a brave man, a warrior, valiant",Pasalthra (n)
seven,Pasari (adj)
seventh,Pasarina (adj)
name of a variety of edible mushroom,Pasawnthlung (n)
"poor, badly off (n) a poor person",Pasie (adj)
year of poor harvest,Pasiet kum (n)
"counting years like a poor man (a poor man always expects the next year to be better for him. Hence, the phrase)",Pasiet kum tiem (adv)
poverty,Pasietna (n)
the name of a variety of mushroom,Pasisaw (n)
pastor,Pastor (n)
"moss, cotton, yarn",Pat (n)
a hank of cotton yarn,Pat duong (n)
a reel or ball of cotton,Pat hlum (n)
one of the important steps of indigenous Hmar cotton reeling process,Pat inchawn (v)
to chaffing of raw cotton,Pat inding (v)
reeling cotton,Pat inhlum (v)
a cotton winding machine (see ‘suthlam’),Pat inhlumna (n)
rolled cotton ready for spinning,Patchawn (n)
name of a particular cotton shawl,Patchawnpuon (n)
"uncle, one’s father’s younger brothers",Pate (n)
"God, the Giver and Preserver of life",Pathien (n)
to worship God,Pathien biek (v)
"church, chapel, house of God",Pathien biekbuk (n)
"a sacred song, a gospel hymn",Pathien hla (n)
the Holy Bible,Pathien lekhabu inthieng (n)
a Godly man,Pathien mi (n)
"a term used to refer to a marriage ordained by God, a wedlock appointed by God",Pathien samsui (adj)
God’s word,Pathien thu (n)
those who obey God’s word (it is for the first time used to refer the new Christian converts),Pathien thuawi (n)
Sunday,Pathienni (n)
"a variety of insect, moth",Pathienpasaihlum (n)
"a young widower, a divorcee man (opposite gender of ‘nuthlawi’)",Pathlawi (n)
three,Pathum (adj)
third,Pathumna (adj)
the name of an edible fungus,Pathur (n)
"a woman who dresses and behaves like a man, a tomboy",Patil (n)
a non-edible fruit bearing plant the fruit of which is use by women to smoothen cotton yarn,Patkhui (n)
"a full grown male, to arrive at the age of puberty, to be of age",Patling (n)
a variety of non-edible mushroom with unbearable pungent smell,Patrok (n)
to wind cotton,Patsai (v)
a bow-shaped cotton winder,Patsaina (n)
the cut off piece of a warp of a woven cloth,Patsum (n)
a Hindi originated term for land document issued by government,Patta (n)
spun cotton on the spindle,Pattui (n)
flax,Patza (n)
cotton thread,Patzai (n)
name of a variety of edible mushroom,Pauithin (n)
a sub clan under Hmar Lawitlang Sungte,Pautu (n)
a middle aged married man,Pavanglai (n)
"to come up to, to reach",Paw (v)
the outside cover,Pawhleu (n)
the seed of a creeper which is used as play thing for children,Pawi (v)
"to have a bad name, to spoil one’s reputation",Pawi (adv)
the Lai tribe,Pawi (n)
"regretful, pitiful (v), to be regretful",Pawi (adj)
children’s play using ‘pawi’,Pawi inkap (n)
"to do harm, to hurt someone, to do mischievous, to harm",Pawi tawk (v)
"harmless, innocent",Pawi tawk lo (adj)
a type of traditional Hmar marriage almost similar to child marriage (see also ‘chongmolak’),Pawibawmchawi (n)
important,Pawimaw (adj)
soft,Pawk (adj)
"straw; class, team, associate, denomination, party, company",Pawl (n)
"to mix with; to have sexual intercourse with, to copulate",Pawl (v)
"a group, a flock, a herd, a pair, a species, a kind; blue, blue colour",Pawl (adj)
the rain which falls soon after or during harvest (November-December),Pawl del ruo (n)
pleasant to associate with,Pawl inhoi (adj)
"to search for the left behinds of a harvest, to glean on the finished harvests",Pawl khawng (v)
"to be friendly with, to have a good rapport with",Pawl ngei (v)
to ostracize,Pawl ser (v)
the time between the harvest and the cold weather,Pawl tlak lai (adj)
to wear or put on commonly,Pawlawt (v)
politics,Pawlitiks (n)
"the main party, the biggest of the group",Pawlpui (n)
"to embrace, to take hold of, to accept, to obey, to give heed to",Pawm (v)
to hold or be with till death but refer to tend to someone (parents) till death,Pawm hlum (v)
to nurse and bring up (a child),Pawm tlei (v)
to agree with,Pawmpui (v)
not thick anymore,Pawn (adj)
"higher in one place than another, swollen, uneven",Pawng (v)
"by force, without paying for (placed before the verb, eg. Pawngsuol = rape, pawng lak = taken by force)",Pawng (adj)
name of children’s play in the evening wherein they hold each other on the back and play,Pawng aw ziel dum (n)
"to act violently, to be arrogant",Pawngnek (v)
be sheer force,Pawngpaw (adv)
the name of a small variety of gourd used as a flask for carrying ‘tibur tui’,Pawngpawrawl (n)
rape,Pawngsuol (n)
"that which is in the open, not hidden, or in the interior",Pawnlang (adj)
"diligent, having no hesitation on any job at hand, serious and painstaking in in one’s work",Pâwnthaw (adj)
"having a hole, perforated",Pawp (adj)
"unkempt, rough, muddy",Pawr (adj)
speak out with a harsh and husked voice,Pawr (adj)
untidy,Pawrche (adj)
"to pull, to drag",Pawt (v)
a Meitei originated term for measurement for paddy equivalent to 2 ‘sangphai’ and approximately 40 kilogram,Pawt (n)
making unnecessary sound,Pawt (v)
"to pull and break (a thread, wire)",Pawt chat (v)
"to pull and stretch (an elastic, a rubber)",Pawt fan (v)
to carry someone else’ items for money,Pawt phur (v)
"a carrier, a porter, a coolie",Pawt phurmi (n)
to destroy by pulling (a paper),Pawt sie (v)
"to tear, to split, to rip up (a cloth, etc)",Pawt thler (v)
a Hmar Khawbung sub clan,Pazamte (n)
give,Pe (v)
to beat about a bush,Pehel (n)
"to throw away, to minus, to subtract",Pei (v)
"ready, to be ready",Pei (adj)
"to have the will, to be willing",Pei (v)
"continuously, right on, one after another",Pei (adv)
"sick, to be sick or unwell",Pei naw (v)
"to throw away, to discard",Peihawn (v)
"to increase or gain (money), to sell at a profit",Peipung (v)
"to give, to offer",Pêk (v)
doing something on behalf of someone else,Pek (adv)
"to pass on, to hand over",Pek sawng (v)
"to give back, to return",Pekkir (v)
a separation or divorce by mutual consent between husband and wife (the husband would not re-claim the bride price he had paid nor the wife would demand ‘man thrungpha’,Peksa chang (n)
"to pass, to pass by, through or out",Pel (v)
hunting of animal,Pél (v)
"a swallow, a house martin",Peleu (n)
"to slip away, to escape",Pelh (v)
dislocated,Pelsol (v)
the name of a fruit bearing plant,Pelte (n)
to migrate from one place or village to another,Pêm (v)
a new migrant in a village or locality,Pêmthar (n)
pen,Pen (n)
"to step, to stride, to pace, a step, a stride, a pace",Pên (v)
"to fillip using the fingers, to strike using only the fingers (in carom games)",Pen (v)
"to turn (to the right or left when walking, etc), (n) a road crossing, a road junction",Pêng (v)
a branch,Peng (n)
"the place where roads, etc, meet, a branch road, an offshoot",Pengna (n)
"a butterfly, a moth",Pengpelep (n)
name of bird,Penguin (n)
pencil,Pensil (n)
pension,Penson (n)
Pentecost,Pentikos (n)
hangover of one’s alcoholic drink of the previous night,Pentrawng (n)
"flat and thin, flat",Pêr (adj)
"to shoot with the pellet bow, to spring up or fly back (as a springy stick, etc)",Per (v)
a variety of fish,Perbuol (n)
"guitar, a hollow guitar",Perkhuong (n)
"low arches of split bamboo so place as to form a fencing to protect a jhoom from wild pigs, boars, etc",Perngo (n)
"pear fruit, naspati",Perthei (n)
to reserve by erecting a ‘cross-shaped’ bamboo split (done in jungles by people to signal that they had reserved that spot or portion for their next jhumland),Perzep (v)
"to graze, to browse, to eat, to dribble",Pet (v)
"kick, to knock against with the lower part of the leg or with foot (eg, football)",Pet (v)
to take a right or left turn from the main path,Pet (v)
going astray (especially from good to bad),Petek (v)
petrol,Petrol (n)
"to spread (as cloth, etc)",Pha (v)
to deny,Pha (v)
"object of or for, cause of, meaning of, reason of or for, means of (eg. Mi thu a awi naw leiin a tuor pha an ta kha – he is now suffering as he is not heeding to advise given to him)",Pha (adv)
to make excuse for (others),Pha pek (v)
a weighing machine; a balance,Phahla (n)
"the name of a reed, elephant grass",Phahram (n)
"plain, low-lying, to be or get low",Phai (adj)
sand,Phaiphin (n)
"the name given to all such musical instruments such as piano, accordion, etc",Phaiphuleng (n)
"the name of a reed which generally grows on bank of rivers, elephant grass",Phairuong (n)
ringworm,Phaithak (n)
an ant,Phaivang (n)
"wind, whirlwind",Phaivuo (n)
"a plain, a low lying plain, a valley, a vale, a dale",Phaizawl (n)
"not yet ripe, astringent, rough (in taste)",Phak (adj)
"to reach, to be able to reach or eat, to attain to, to reach as far as, to arrive at, etc",Phâk (v)
the sparse bamboo plait on which thatches are placed on Hmar traditional roofing,Phakrak (n)
a variety of wild tree,Phaktel (n)
"to allow, to permit, to grant, to let to be willing to give",Phal (v)
"forbidden, prohibited, unlawful",Phal lo (adj)
"winter, the winter",Phalbi (n)
permission,Phalna (n)
"enjoy, to take pleasure in",Phàm (v)
"to knit, to weave",Phan (v)
not thick,Phân (adj)
"to spread out or hold out (the arms or hands on either side), to straighten (the arm), to lift or hold up (the arm), to spread out or open out (as cloth, etc)",Phar (v)
"leprosy, a leper",Phâr (n)
"to desert, to forsake, to betray and leave",Phatsan (v)
a shield,Phaw (n)
"to pull out, to extract",Phawi (v)
"to lift up (when searching something), to turn over",Phawk (v)
"coarse, rough; jovial, fond of joking",Phawk (adj)
to discretely find out someone,Phawk (v)
to be unsettled in one’s mind and therefore unable to apply oneself to work,Phawklek (v)
phone,Phawn (n)
name of a small insect,Phawngphawdetdet (n)
"to take out, to exhume, to reveal",Phawr (v)
"to take out, to exhume, to reveal",Phawrdawk (v)
"to take out, to exhume, to reveal",Phawrsuok (v)
certainly (mostly used in affirmative sentences),Phawt (adv)
"if, if so be, if only",Phawt chun (cnjn)
"twinkling, to flash",Phe (v)
"level, flat, to go along level ground, to go straight on without going up or down, (adv) horizontally, evenly, neither up nor down",Phei (adj)
"name of a trap especially for catching rats, wild fowls, pheasants, etc",Pheikei (n)
poetical term for the foot,Pheikhai (v)
"a boot, a shoe, a clog",Pheikhok (n)
boot polish,Pheikhok hlo (n)
a shoe brush,Pheikhok nawtna (n)
a simple musical instrument made from bamboo,Pheiphit (n)
poetical word for the upper leg or thigh,Pheiphung (n)
the name of a one-legged ghost (evil spirit) believes to exist in the pre-Christian era Hmar society,Pheisam (n)
"winning a ‘pheisam’, caught hold of ‘pheisam’ or a sudden and unexpected luck or prosperity (Pheisam - a one-legged ghost often falls down while walking. Those kind hearted human who help him stand up to walk again are blessed with whatever things they wish for. Hence, the term ‘pheisam man’ is coined when someone who unexpectedly and in a short period of time becomes rich.",Pheisam man (adj)
the leather strap used in hand weaving,Pheivon (n)
"flat and thin; a page, a sheet, a slice, a slab, to be flat and thin",Phek (adj)
name of a tree,Phekphe (n)
"to split, to cut in halves",Phel (v)
to open up,Phen (v)
"to get behind, to take shelter behind",Phen (adj)
messy,Phen phun (adv)
"in shelter of, under the lee of, behind",Phenah (adv)
to be in pain and about to cry,Pheng (v)
a mat,Pher (n)
scattered here and there,Pherh (adj)
the name of a bamboo mat,Pherphek (n)
name of wild tree,Pherthing (n)
to pull down from the bottom,Phet thlu (v)
"sparsely, here and there",Pheu pheu (adv)
to wash (the face),Phi (v)
"a strong word expressing anger, scorn, etc",Phiengsen (adj)
"to knit, to plait, to be entangled (hair), to plan against, to conspire against (human)",Phier (v)
to bind or tie the hands behind the back,Phierhnungkhir (v)
"to plot against secretly, to conspire secretly",Phierru (v)
conspiracy,Phierrukna (n)
busy,Phihli (adj)
"the main accuse, the culprit",Phikhawi (n)
"to steal and kill an animal or fowls, etc for eating or sacrifice, to murder secretly, to assassinate",Phil (v)
"the abdomen, the belly",Phing (n)
pot belly,Phingbel (adj)
stomached,Phingna (adj)
the stomach,Phingpui (n)
gastroenteritis,Phingpuina (n)
"a stomach or bowel disorder, a gastric problem",Phingsip (n)
"hungry, hunger, to be hungry",Phingtram (adj)
"to forked, to gore, to pierce",Phir (v)
"twin, double",Phîr (n)
"powder, scurf, (n) powdery, finely powdered, floury",Phit (adj)
to sweep (using broom),Phît (v)
the mantle of a lamp,Phita (n)
"to lift up on end, to raise, to turn over (as page of book, etc)",Phok (v)
coarse or rough in nature and behaviour (human),Phok (adj)
"to expose, to bring out in the open",Pholang (v)
a landmark,Pholeng (n)
to make or set up a landmark,Pholeng tar (v)
"to take off (as a cover, hat, etc), to come or fall off, to open up a bit",Phong (v)
"to take out, to exhume",Phor (v)
"to take out, to exhume, to reveal",Phordawk (v)
"to take out, to exhume, to reveal",Phorsuok (v)
"certainly; for a moment, for a while; temporarily",Phot (adv)
"if, if so be, if only",Phot chun (cnjn)
"suitable, to suit, worthy, deserved, to be suited",Phu (adj)
"to beat (as heart, etc)",Phu (v)
"unsuitable, to be unworthy, unsustainable",Phu lo (adj)
"to be surprised or startled, to jump with surprise",Phu zok (adv)
"revenge, retribution, vengeance",Phuba (n)
"to avenge, to take revenge, vengeance",Phuba lak (v)
"scales (of fish, sores, etc)",Phuhlip (n)
a variety of winged ant,Phuhlum (n)
"to fill in, to relieve or supply (an immediate or specific want)",Phuhruk (v)
"closely woven, free from holes, airtight to be closely woven, etc., firmly, thoroughly, closely, etc",Phui (adj)
name of a red flower plant that grows among wild shrubs,Phuibim (n)
"in a systematic manner, in a proper way; prosperous",Phuisui (adv)
to sprinkle,Phul (v)
"to froth, to bubble up, to effervesce",Phul (n)
an open tract of country generally covered with grass and with few or no trees,Phûl (n)
the name of a species of bamboo,Phûl ruo (n)
"to bury, to dip",Phûm (v)
"to plant, to set up by burying one end in the ground",Phun (v)
"to mutter, to murmur, to talk to one's self, to grumble, to find fault with",Phun (v)
"grumbling, complaining",Phunchier (adj)
the name of a tree yielding a cotton reel flower that mostly grows on flat and plain areas and often regard as a by-product of obedience,Phunchong (n)
ordinary,Phung (adj)
a cruel one-eyed she ghost believes to have a peculiar physique that used to walk on top of large trees in the deep jungles,Phûng (n)
blood relatives,Phung le chang (n)
"those believes to be harmed by ‘phung’; an epilepsy, a person subject to epileptic fits, to have an epileptic fit",Phûng zawl (n)
"to help, to assist, to succour",Phungbawm (v)
ordinary friends and relatives,Phungleng (adj)
"the mother of ghost, etc",Phungpuinu (n)
near and dear ones by blood or by being a neighbour,Phungruol (n)
shaking or rolling in uneven and rough manner,Phungsor (v)
"to whisper, to mutter, to murmur, to talk to one's self",Phunnawi (v)
the dust particles prepared to lit a fire; saw dust,Phuoi (n)
a variety of wild tree,Phuoithing (n)
"to compose, to make up, to name",Phuok (v)
"make up (out of one’s own mind) to compose, to improvise",Phuokfawm (v)
"one who composes (a song), a composer",Phuoktu (n)
"froth, lather, scum, foam, (v) to froth, etc",Phuon (n)
"tighten, of being under severance or set aside",Phuor (n)
to carry on the back (as load),Phur (v)
cutting down (of a tree),Phûr (v)
"eager, enthusiastic",Phür (n)
the time during May (thlaphur) & June (thlado) and an important period for a Hmar jhum cycle,Phurledoinkei hun (n)
a rain that falls during May (thlaphur) & June (thlado),Phurledoinkei ruo (n)
"burden, a heavy load",Phurrik (adj)
"a ringleader, main player of any event or situation",Phusa (n)
"beginning, start",Phut (n)
"suddenly happening, unexpected",Phut (adv)
"to demand, to ask for, to hint at",Phût (v)
"to demand forcefully, to force into service",Phûtlui (adv)
"to boast of, to brag, show off, talk big",Phutrani (v)
"a grandmother, a maternal uncle's wife or daughter; madam, term use to show respect to women",Pi (n)
"grandmothers and grandfathers, forefathers, ancestors",Pi le pu (n)
the name of girl’s play,Pi pe sainawka (n)
"poetical term for earth, soil",Piellei (n)
the barrel (of a gun),Piellung (n)
the paradise,Pielral (n)
the name of a fruit bearing plant,Pielte (n)
a Hmar Khawlhring sub clan,Pieltel (n)
a large flat and slippery rock,Pielthleng (n)
a large smooth rock,Pieltlep (n)
a sub clan under Hmar Lawitlang Sungte,Pieltu (n)
born,Pieng (v)
"shape, mode, figure",Pieng dan (n)
parents or predecessor; where one is born and grows up,Pieng le murna (adv)
birthday,Piengchampha (n)
"that which one is innate, inborn",Piengken (n)
"native land, motherland",Piengna ram (n)
physique,Piengphung (n)
"handicapped, disabled (differently able)",Piengphunga ruol banlo (n)
same blood brother or sister,Piengpui (n)
"maimed, deformed",Piengsuol (n)
born again (a term originated and common with Christian faith),Piengthar (v)
"rights, one’s rights, privileges, human rights",Piengvo (n)
thick,Pik (adj)
"problematic, difficulty, etc",Pikhawi (n)
the name of a species of fly,Pikhuoizu (n)
picnic,Piknik (v)
"soil, earth",Pil (n)
to sink,Pil (v)
"a clot, a lump of earth",Pil tlang (n)
to disappear from sight,Pilhmang (v)
"clay, mud",Pilpok (n)
remote,Pilril (adj)
"a soft soil produced by ‘leithra’, a small white ant",Pilso (n)
dust,Pilvut (n)
dust (suspended in the air),Pilvut khu (n)
a safety pin,Pin (n)
"a room, a cabin, a chamber",Pindan (n)
"closed up, to close up, to be closed up, free from holes",Ping (adj)
a variety of adlay millet or Job’s tears,Pingpi (n)
a swing,Pipu (n)
to take a small quantity of anything with the finger or knife,Pir (v)
a small conical land snail,Piring (n)
office,Pisa (n)
name of a small grass plant or sedges,Pisaumbur (n)
pistol,Pistol (n)
spit (of saliva),Pit (v)
the name of a small bird,Pit (n)
"an old woman, to become an old woman",Pitar (n)
a measurement equal to the width from the thumb to the tip of middle or ring fingers,Piu (adj)
"a measurement of land of approximately 2400 square feet or 0.0551 acres and which is prevalent among Hmars of Manipur, Mizoram, Meghalaya, etc",Plot (n)
"that much, this much",Po (adj)
"all whole, every, entire",Po po (adj)
"regretful, pitiful",Poi (adj)
to be regretful,Poi (v)
"to do harm, to hurt someone, to do mischievous, to harm",Poi tawk (v)
"harmless, innocent",Poi tawk lo (adj)
"to feel sorry, to be sorry, to regret",Poi ti (v)
"important, necessary, etc",Poimaw (adj)
point,Point (n)
"a pie, see paisa",Poisa (n)
"to take heed to, to respect, to mind, to regard",Poisa (v)
"to disregard, to not heed to, to not respect",Poisa lo (v)
"soft, not hard",Pok (adj)
to mix,Pol (v)
"to embrace, to take hold of, to accept, to obey, to give heed to",Pom (v)
to hold or be with till death but refer to tend to someone (parents) till death,Pom hlum (v)
to nurse and bring up (a child),Pom tlei (v)
to agree with,Pompui (v)
to agree or accept without much consideration,Pomzam (v)
"having a hole, perforated",Pop (adj)
"unkempt, rough, muddy",Por (adj)
untidy,Porche (adj)
"to pull, to drag",Pot (v)
"to pull and break (a thread, wire)",Pot chat (v)
"to pull and stretch (an elastic, a rubber)",Pot fan (v)
to destroy by pulling (a paper),Pot sie (v)
"to tear, to split, to rip up (a cloth, etc)",Pot thler (v)
a British’s imposed tax system to the tribal peoples of Manipur wherein villagers in the hills had to carry the goods and luggage of government officials free of cost while they were on tour to the areas. In case of refusal they whipped the villagers and forced to carry the loads (pot=materials or things; thang=carry). Lushai-Mizos called it as ‘Fathang’.,Pothang Bekari (n)
a British’s imposed tax system to the tribal peoples of Manipur wherein villagers in the hills had to contribute money to feed touring officials and other employees of the Government in their areas,Pothang Senkhai (n)
presbytery,Presbytery (n)
president,President (n)
"programme, program",Prokram (n)
"a grandfather, great grandfather, a wife's male relation, a maternal uncle's son, a maternal uncle, one in charge of anyone or anything",Pu (n)
sir,Pu (n)
a bride price meant for the maternal grandfather or uncle of the bride paid in the initial stage,Pu inhawn (n)
a traditional wine or rice beer offered to public by the maternal uncles of a deceased,Pu zu (n)
a Hmar Leiri sub clan,Pudaite (n)
the garden mint,Pudina (n)
a Hmar Leiri sub clan,Puhnuongte (n)
"large, big",Pui (adj)
"a term generally used for female/she animals, birds, etc, after having had young ones",Pui (adj)
"to help, to assist",Puibawm (v)
"the matriarch, the senior and older female member (of family, society, etc)",Puikurung (n)
a Hmar Biete sub clan,Puiloh (n)
"leader, manager, the head of family or organisation",Puipa (n)
"mass, group, public",Puipun (n)
public gatherings,Puipun nikhuo (adj)
"to give or gift to for keeping or rearing (of female birds, animals)",Puisuo (v)
"an exorcist, a priest",Puithiem (n)
"religious, conscientious, punctilious, conservative or zealous for one's own customs, to observe or keep religiously",Puithu (adj)
"religious rites and rituals, punctiliousness",Puithuna (n)
"to accomplish, to carry out, to be successful, to reach maturity",Puitling (v)
"grown up, mature, men and women",Puitling (adj)
cave,Pûk (n)
to borrow (when the equivalent but not the thing itself is to be returned),Pùk (v)
the cave bat,Pûk bak (n)
done in a fast and large manner (fak pûk pûk = to eat in a fast and large manner),Pûk pûk (adv)
a Meitei term for pond,Pukhri (n)
"death by disease, unnatural death",Pûl (v)
a Hmar Leiri sub clan,Pulamte (n)
police,Pulis (n)
pulpit,Pulpit (n)
"body, whole, entire",Pum (n)
raft,Pùm (n)
"a smithy, a forge, a blacksmith’s shop",Pùm (n)
the tubes which run underground from the bellows to the forge in a smithy,Pum hnar (n)
a burnt offering,Pum rawhmang thil inhlan (n)
the cylinders of a blacksmith's bellows,Pum thei (n)
the pistons of a blacksmith's bellows,Pum zapna (n)
to manage the whole by oneself (such as in eating or in work),Pumbil (v)
"the whole of, all, entire",Pumhlum (adv)
"along with, together with",Pumin (adv)
"avoid, to shirk",Pumpel (v)
the name of a creeping reed,Pumphir (n)
"whole, entirety",Pumpui (adj)
"to mobilise, to call in for help",Pun (v)
to increase in numbers or quantity,Pung (v)
"interest charged by moneylenders, banks (on loans), etc",Pung (n)
"to assemble, an assembly, gathering in large number",Pungkhawm (v)
a Hmar Khawbung sub clan,Punte (n)
to multiply,Puntir (v)
multiplication,Puntir (n)
"to take after, to resemble (parents or elder by younger and not vice-versa)",Puo (v)
"to carry on the back (as child, etc)",Puo (v)
the outside,Puo (n)
outside,Puo tieng (adj)
outsider,Puo tieng mi (n)
"to prepare, to make preparation, to ready, to get ready",Puocha (v)
"to explode, to burst, explosion",Puok (v)
"to carry on the back (as child, etc)",Puok (v)
carrying on the back and on the side,Puokbat (v)
burst out,Puokkoi (v)
a six round revolver,Puokruk (n)
"that which can explode, explosives",Puokthei (n)
"share, one’s share, lot",Puol (n)
the name of a plant,Puolchangkawk (n)
a variety of wild tree,Puoleng (n)
hornbill,Puolrang (n)
"swollen, to swell",Puom (adj)
