en,hmr
cigarette,Ziel (n)
"rolled up, done up in a knot (as hair), etc",Ziel (n)
sorry state of affair,Zienaw (adv)
one’s nature or character or behaviour,Zierang (n)
to scrape,Ziet (v)
to shave bald,Ziet kol (v)
to scrape clean,Zietfai (v)
a piece of bamboo or steel bent like a horseshoe and used for scraping beans,Zietkûr (n)
"a new shoot, the pinnacle, the high point",Zîk (n)
young and tender shoot or sprout (mostly edibles),Zîk dawng (n)
cabbage,Zîkhlùm (n)
"to be success, to mature",Zîksuok (v)
"to correct, to admonish, to reprove, to exhort, to instruct",Zil (v)
the morning dew,Zil (n)
a Hmar Changsan sub clan,Zilchung (n)
"to scold, to rebuke, to admonish",Zilhau (v)
"admonition, censure, correction",Zilhauna (n)
a Hmar Changsan sub clan,Zilhmang (n)
"warning, caution against danger",Zillawkna (n)
"to give warning, to warn",Zilllawk (v)
"to encircle, to surround",Zim (v)
"to go on a journey, to visit a distant village",Zin (v)
"an affix denoting continuity, frequently, repeatedly, continually, without a break",Zing (adv)
morning,Zîng (n)
"misty, foggy, cloudy",Zîng (v)
the day after tomorrow,Zîng nawk (n)
mild morning sun,Zing ni nem (n)
the morning prayer,Zing trongtrai (n)
a mass morning prayer event in the Church,Zing trongtrai inkhawm (n)
"always, very frequently",Zing zing (adv)
for tomorrow,Zinga ding (adv)
tomorrow,Zîngah (n)
"the morning meal, breakfast",Zîngbu (n)
early morning,Zîngkar (n)
zipper,Zipar (n)
"to learn, to copy, to imitate",Zir (v)
"based on, as per, etc.",Zir (adv)
"learner, student",Zirlai (n)
zero,Ziro (n)
Friday,Zirtawpni (n)
teach,Zirtir (n)
a Hmar primer,Zirtirbu (n)
"teaching, instruction, doctrine",Zirtirna (n)
teacher,Zirtirtu (n)
jute,Ziza (n)
"to be able to, to succeed in persuading",Zo (v)
"the hill tribes, high hills of great elevation, etc.",Zo (n)
"to finish, to complete",Zo (v)
with great difficulty,Zo le zo lovin (adv)
name of a species of ‘lailên’ bird,Zo lênchîm (n)
"all, without exception",Zo vong (adv)
"after, later in time, after having finished, afterwards, subsequent to",Zoah (adv)
"feeble, powerless, weak, paralytic",Zoi (adj)
"quickly, hastily, in a moment",Zok (adv)
"to connect, to join to, to subscribe, to affix",Zom (v)
without intermission,Zom zat (adv)
name of a conglomeration of tribes,Zomi (n)
"an iron rod for digging, plucking, etc.",Zomphol (n)
"the completion, accomplishment, finish, end",Zona (n)
"to search, to look for, to seek",Zong (v)
an index,Zong olna (n)
"to be addicted, accustomed or used to",Zongsak (v)
discover,Zongsuok (v)
"damp, to be or get damp, well-immersed with any liquid",Zop (adj)
"to sell, to put up for sale, to trade with",Zor (v)
soften up due to heating by fire or by being cooked,Zor (adj)
a Hmar clan,Zote (n)
high hills or mountain,Zotlang (n)
water of the high mountains,Zotui (n)
name of a tribe,Zou (n)
"after, later in time, after having finished, afterwards, subsequent to",Zovin (adv)
"of great number, so many",Zozai (adv)
name of a beautiful wild flower,Zozam (n)
"wine, alcohol, honeybee",Zu (n)
"verbal prefix signifying going, generally on lower ground, or from one place to another of lower elevation",Zu (adv)
to ferment rice and brew with yeast in its pot,Zu bil (v)
a drunkard,Zu he (n)
rats and birds; a term which includes all animals and birds that destroy the crops,Zu va (n)
a wine pot,Zubel (n)
name of a species of mouse,Zucho (n)
the first traditional rice wine shared by both parties in Hmar traditional marriage processes,Zudam (n)
"alcoholic, drunkard",Zudawnmi (n)
fermented rice and its wine,Zufang (n)
rice from which beer has been brewed,Zufe (n)
fermented rice both before and after being brewed into beer,Zuha (n)
a place where drinking and feasting are being carried on,Zuhmun-sahmun (n)
follow,Zui (v)
a verbal prefix denoting motion downwards,Zui (adv)
"tapering, to taper",Zui (adj)
following or tracking secretly,Zuidip (v)
the name of a tree,Zukbu (n)
a he stag,Zukchal (n)
alcohol,Zukha (n)
a stag (see sazuk),Zukpui (n)
zoology,Zulawzi (n)
"pointed, to sharpen to a point",Zum (adj)
the diamond in playing card,Zum (n)
which refers to someone who criticizes one to another and vice-versa,Zum le zuor intuo (n)
name of an ominous bird,Zumkuk (n)
supersede,Zumnel (v)
urine,Zun (n)
the deep loneliness felt by lovers towards the one they love,Zûn (n)
a container for urine,Zun bur (n)
"a washroom, a toilet, lavatory",Zun in (n)
missing one’s lover in a desperate manner,Zûn ngai (v)
to want to pass urine,Zun suok (v)
"a finger, a toe, a root",Zung (n)
to take a root,Zungkei (v)
"a boisterous drunkard who is problematic when drunk, alcoholic",Zungolvei (n)
urinating incontinence or frequent urge to urinate without being able to pass much urine,Zunrawchi (n)
"a small amount of urine, oliguria",Zuntehmer (n)
"not to the level of expectation, nothing to rejoice with, not worthy of working on it or not worth helping",Zuntenu siem (phrase)
"diabetic, diabetes",Zunthlum (n)
the charm or attraction assumed to be possessed by a lover by the one he/she loves,Zûnzam (n)
poetical term for father,Zuo (n)
"more, increasing",Zuol (adj)
a messenger of negative news or information,Zuolko (n)
"to be not afraid, to be sure, to be confident, to have assurance",Zuom (v)
to be overconfident and paid the price for it,Zuomsuol (v)
"not fearsome, not formidable",Zuomum (adj)
"to pounce upon, to spring upon",Zuon (v)
the name of a large hairy caterpillar,Zuonbak (n)
poetical term for ‘come’,Zuong (v)
the name of a tree the bark of which yields a blue-black dye,Zuong (n)
"to be full of life and spirits, agile, nimble",Zuonzang (adj)
poetical term for father,Zuopa (n)
sisters of the bride on her wedding day (mo unau nuhmeihai),Zuor (n)
a sum of money given to ‘zuor’ in a Hmar wedding,Zuorman (n)
"to do the talking by standing still, to refuse to sit down and talk",Zuorman thrin ang (adv)
co-sisters of the bride on her wedding day,Zuorpui (n)
a Hmar Ngente sub clan,Zuote (n)
"to be wanting in courage or heroism when in pain or difficulties, fussy or impatient in sickness or suffering",Zuou (adj)
a variety of ‘zu’ or indigenous wine,Zupeng (n)
steamed and fermented or unfermented rice beer,Zupui (n)
"shrivelled, wizened, wrinkled",Zûr (adj)
"pair, in pair",Zura (n)
drunk,Zurui (n)
"to wipe, mop",Zût (v)
a variety of strong alcohol,Zuteng (n)
decline into oblivion,Zuva (v)
to decline or decrease and be finished off,Zuzi (v)
