en,hmr
by the way,Takluo ah (phrase)
"muscle, flesh, the body",Taksa (n)
fatigue,Taksa chau (n)
"truly, really, very much",Takzet (adv)
"to struggle, to move, to wriggle",Tâl (v)
a Hindi originated term for lock,Tala (n)
talent,Talen (n)
"very much, too much; indeed",Taluo (adv)
"much, many, common, plentiful",Tam (adj)
scarcity of a particular plant due to disease or some destruction and obliteration,Tâm (n)
a Hmar Lungtrau sub clan,Tamhrang (n)
a Hmar Biete sub clan; a Hmar Thriek sub clan,Tamlo (n)
those that can withstand certain difficult and harsh situations,Tâmsel (adj)
"much, very much, too much",Tamtak (adv)
"to chop or cut off, to cross (as a river)",Tan (v)
"to cut off, to chop off",Tan bong (v)
a typical hairstyle of straight lower portion,Tanbubel (n)
to look upwards,Tang (v)
to be imprisoned,Tang (v)
"jail, prison",Tang in (n)
"a jail warden, jailor",Tang vengtu (n)
"money, a rupee, silver",Tangka (n)
"a money bag, a purse",Tangka ip (n)
"money, riches",Tangka sum (n)
"treasurer, cashier, accountant",Tangka sum enkoltu (n)
a medal,Tangkapui (n)
"silver, white metal",Tangkaruo (n)
the great lizard,Tangkawng (n)
a Hmar traditional dance (the song associated with it is called ‘tangkawng vailak hla’),Tangkawng vailak lam (n)
name of a variety of lizard,Tangkeu (n)
stranded with no other means to move ahead,Tangkhang (adj)
lockdown,Tangkhip (n)
a species of lizard,Tangmam (n)
a particular variety of rice that is usually heated and husked and eaten,Tangper (n)
a particular item in a Hmar woman hand woven loom,Tanhna (n)
"an elevated fireplace, a hearth",Tap (n)
"all, whoever",Taphot (prn)
the wooden framework of a Hmar hearth,Tapphel (n)
the mound of earth at the back of a Hmar fireplace to protect the wall from fire,Tapsai (n)
"a discussion of irrelevance, expression of wishful thinking",Taptebul titi (n)
"to be a home bird, to be able to sit only by the fireplace (old or infirm person)",Taptom (v)
opinion of home bird,Taptom ngaidan (n)
"old (in age), to become old",Tar (n)
tight,Tar (adj)
"to stick on a pole, to make or set up a landmark, to hang, to paste on a wall",Tàr (v)
"a childish character that comes with age, to be in one's old age",Tar inhai (adj)
to live to old age,Tar kuna dam (adj)
to approach old age,Tar tieng pan (v)
lattice work made by split bamboos plaited together,Tarang (n)
to hang up and expose to view,Tardok (v)
target,Target (n)
"date, the day of the months",Tarik (n)
"to expose for view, to show up",Tarlang (v)
a variety of non-edible wild mushroom with unbearable pungent smell,Tarmansa (n)
"spectacle, eyeglasses",Tarmit (n)
tarpaulin,Tarpawlin (n)
one wife’s mother,Tarpi (n)
the name of a white ant’s nest used for burning in order to keep away insects,Tarpilu (n)
turpentine,Tarpintel (n)
a wife's father or brother,Tarpu (n)
"to rub, to besmear",Tàt (v)
a species of wild tree,Tât (n)
"to rub clean, to rub (as the feet on a mat or scraper)",Tât fai (v)
to sharpen (like knife),Tât ngei (v)
a little girl’s handloom,Tatebem (n)
anything used for sharpening knives or sharp objects,Tâtna (n)
a species of wild tree,Tâtpawng (n)
the name of a tree,Tatte (n)
a new term of ‘neitu’ (owner),Tatu (n)
"to sulk, to be cross, displeased, angry",Tau (v)
"to butt (as goat), to knock with the head, to knock the head against",Tauh (v)
a particular Hmar woman shawl,Tavuolpuon (n)
name of a species of large ant,Tawek (n)
"short, to be short",Tawi (adj)
"briefly, shortly, in short",Tawite in (adv)
to touch,Tawk (v)
"bait, to put a bait, to bait",Tawkdar (n)
a variety of caterpillar,Tawktawngang (n)
the rectum,Tawl (n)
move (an item from one place to another),Tawl (v)
"a pile disorder, to have piles, piles",Tawl tla (n)
"wheels, a wheel a cart, a carriage",Tawlailir (n)
the rectum,Tawlkuo (n)
name of birth,Tawllawt (n)
the name of a young woman's cloth,Tawllopuon (n)
slide (where) children play,Tawlparit (n)
"to shrink, to crouch, to be crumpled, to be contracted, (as the finger, arm or leg)",Tawm (v)
"near, nearing to, almost",Tawm (adv)
"just about to, on the verge of",Tawm trep (adv)
a hand weaving material,Tawmkal (n)
to wear (on the hair or head),Tawn (v)
"one another, each other",Tawn (adv)
poetical term for ‘in me’ or ‘near me’,Tawnah (prn)
"to meet, to come face to face; to reach up to (in height)",Tawng (v)
a measurement from the elbow to the tip of the middle finger,Tawng (n)
"to attack, to fight, to assault (from a distance)",Tawng (v)
"to feel unsatisfied, discontented",Tawng khop lo (adv)
name of a variety of weed,Tâwnhnieng (n)
"experience, by experience, after coming across practically",Tawnhriet (n)
a Hmar traditional headgear reserved only for warriors (feather of Cuckoo is always clipped on it),Tawnlairang (n)
tonsil,Tawnsil (n)
"exceedingly, extremely, abundantly",Tawntaw (adj)
"the gateway, entrance, etc",Tawntir (adj)
"a vest, a banyan",Tawnzau (n)
"to end, to conclude (adj), last, final",Tawp (v)
"not at all, in no way, under no circumstances",Tawp nawh (adv)
"to have no end, everlasting, infinite",Tawp nei lo (v)
the extreme end,Tawp rawt (n)
"last, final, the furthest, ultimate",Tawp tak (adj)
"end, conclusion",Tawpintai (n)
to have no end or ending,Tawpintai nei lo (adv)
"utmost, extreme, uttermost",Tawpkhawk (adj)
"the end, conclusion, final",Tawpna (n)
"ill at ease, awkward, not quick and smart",Tawrkawnawng (adj)
"cruel, ruthless, brutal, rough",Tawrot (adj)
torchlight,Tawrslait (n)
"a bugle, trumpet",Tawtawrawt (n)
name of flower that resembles a trumpet,Tawtawrawt par (n)
"a trumpeter, bugler",Tawtawrawt pu (n)
young one of animals,Te (n)
"even, also an emphatic particle",Te lul (adv)
table,Tebul (n)
to loiter around with no specific purpose,Tei (v)
"a must, without fail, by all means (I hung tei tei ding a nih = you must come by all means)",Tei tei (adv)
"a unit of dry measure found in the Bible which equals to the capacity of 144 medium-sized eggs, or what is equal in volume to about 8.5 litres",Tekhawng (n)
"to compare, to liken to",Tekhin (v)
"a parable, a metaphor, an illustration",Tekhin thu (n)
taxi,Teksi (n)
"a bundle, a bunch, to tie up into a bundle; a Hindi originated term for oil",Têl (n)
telephone,Telephawn (n)
television,Televizon (n)
"name of a wild plant almost similar to arum and the tuber, stem and buds of the ‘male’ plant is edible albeit with certain specific and intricate process; another name of ‘chaldawng’",Telkawng (n)
the name of a tortoise found on land,Telkhawmuol (n)
the name of a large tortoise,Telpui (n)
the name of a small tortoise,Telrang (n)
to taste,Tem (v)
"of less importance, less or minor issue (for the mouth)",Temnem (adj)
temple,Tempul (n)
"to abhor, to abominate, to detest, to feel disgusted at, to loathe",Ten (v)
"petty, small, trifling, tiny, trivial, insignificant",Tenau (adj)
"tank, water container",Tengki (n)
the tamarind,Tengtere (n)
"fastidious, particular in taste",Tensie (adj)
a form of eating in the smallest particles,Tep (v)
"idle, lies, futile (words)",Teplo (n)
"to be close, tight (in time or period), a little time to spare",Tepter (adv)
"crushed to the maximum, crushed to pieces",Ter (adv)
in the position to contain or challenge,Ter (v)
curry leaves,Tespata (n)
"to crash, smashing, bump into",Tet (v)
name of a species of bird,Teteawi (n)
a young girl's private part,Tetkoi (n)
"almost, very near, very close",Teu (adv)
"to be not near to, to be nowhere close",Teu lo (adv)
"not at all, not a bit, under no circumstances",Teu naw taluo (adv)
"a sinew, strength, energy",Tha (n)
"a debt of work, to owe a day’s work",Tha bat (n)
"to be idle, to do a thing listlessly because not working for one's self",Tha inthla (adv)
"to have a cramp, cramp",Tha intom (v)
"strength, energy, vigour, power, strength",Tha le zung (n)
to contribute one's labour or might,Tha thawlawm (v)
to fail in one's strength or energy (as in old age),Tha thrum (v)
"lazy, idle, indolent, to be lazy",Thabo (adj)
a species of rice,Thabo kawnglawng (n)
"laziness, idleness",Thabona (n)
name of tribe,Thadou (n)
"eager to do something, enthusiastic",Thafan (adj)
"a sinew, energy, strength",Thahrui (n)
"strong, mighty, energetic, etc",Thahrui nei (adj)
poetical term for wife,Thai (n)
"to scratch up, to scrape with fingers or claw, to write",Thai (v)
"to delete, to blot out, to erase",Thai bo (n)
a henpecked husband,Thaibawi (n)
"coward, spineless, gutless",Thaidawp (adj)
"to mark with a cross, to cross mark",Thaikawkal (v)
to nominally write with no specific shape or meaning,Thairang (v)
"to cross out, to scratch out",Thaisie (v)
to go and drop or deliver,Thak (v)
"to itch, to be pungent, to be hot (as pepper), pungent, hot",Thak (adj)
measles,Thakpher (n)
"an arrow, a dart; to upside down, to face upwards, lying on the back",Thal (n)
"to scoop up, to ladle out (eg, water using mug)",Thàl (v)
archery,Thalkap (n)
archer,Thalkap mi (n)
the barbed arrow head,Thalkibar (n)
missile,Thalmitmei (n)
a bow (weapon),Thalngul (n)
a bribe,Tham (v)
of sufficient size or number or importance (fak tham=enough for eating; buoipui tham= important enough to get involve into),Tham (suffix)
husky (voice),Thâm (adj)
"to disdain, to have no respect for",Tham naw (v)
bribery,Thamna (n)
"that has died, that has vanished away",Thamral (adv)
a Hindi originated term for police station ‘lock-up’,Thana (n)
"to spread (as fame), to become known, to be renowned, etc",Thang (v)
"having a smell like raw flesh, pongy smell, etc",Thâng (adj)
"to sojourn (in another place), to remain (in another place or country)",Thang hmang (adv)
having a distaste of something,Thangindei (n)
"to echo, reverberate",Thangkhawk (n)
a message of death of someone,Thangko (n)
name of insect found in large swarm and that feeds on edible leaves,Thangnang (n)
a Hmar Changsan sub clan,Thangngeu (n)
a title given to a Hmar warrior who has hunted down a certain number of wild animals or to the one who has harvested a certain amount of paddy and has given a public feast,Thangsuo (n)
a Hmar traditional shawl reserved for the warriors,Thangsuopuon (n)
to sheet with anger after feeling defeated,Thangtlawm (n)
"report, rumour, news or tidings (which one hears indirectly)",Thangva (n)
poetical term for the sky,Thangvan (n)
a Meitei originated term for an aquatic cash crop also known as ‘black diamond or fox nut’,Thangzing (n)
"rough (as wood), to be rough",Thap (adj)
to risk one's life; to endanger oneself; at the peril of life,Thâp (v)
the whole strength,Thapui (n)
"new, fresh",Thar (adj)
a Hmar traditional shawl (used to cover ‘thirdam’),Tharlaizawn (n)
"fresh, new",Tharlam (adj)
"to kill, to slay, to put to death",That (v)
"energetic, enthusiastic",Thatho (adj)
"energetically, enthusiastically",Thatho takin (adv)
"fat, stout, fleshy, plump, obese, grease",Thau (n)
obesity,Thau taluo (n)
"to contribute, to subscribe",Thaw (v)
"to do, to act towards; copulate",Thaw (v)
"to do without fail, imperative to do",Thaw makmaw (adv)
"to test, to experiment",Thaw sin (v)
"to pretend, to deceive, to do out of a thing",Thaw tehlem (v)
"a cascading effect, an afterward effect",Thawhla (adj)
to offer a sacrifice when one is sick or to ensure good health,Thawi (v)
"to slightly graze, to go or pass close to (as shot), to go round about or up and down in front of",Thawi (adj)
"to restore back to normal by words, action or sacrifice",Thawidam (v)
"to work, to do, to perform",Thawk (v)
suddenly,Thawk le khat (adv)
"all of a sudden, suddenly",Thawk le khatin (adv)
"to contribute, to subscribe a collection",Thawkhawm (v)
"contribute, to pay subscriptions",Thawkhawm (v)
"go between, one who join both sides (mutually agreed)",Thawkpalai (n)
"to labour, to toil, to work hard",Thawkrim (v)
"loose fitting, to be loose fitting",Thawl (adj)
"contribution, collections",Thawlawm (n)
to collect offerings in the Church,Thawlawm dawl (v)
Tuesday,Thawlenni (n)
"to forcefully do an action, to insist upon doing or saying",Thawlui (adv)
"a sound, a voice",Thawm (n)
to be noisy,Thawm na (v)
"to send, to despatch",Thawn (v)
"to send from one to another, to forward, to send on",Thawn sawng (v)
"to send out, to export",Thawnsuok (v)
"loose, spongy, light (as bread)",Thawp (adj)
"embarrassed, not prosperous, having a confined situation, etc",Thawpik (adj)
"embarrassing, depressing",Thawpikthlak (adv)
"in abundance, in big amount, in large number",Thawr (adv)
"one's earning by work, obtain by one's labour",Thawsuok (n)
loose,Thawt (adj)
Monday,Thawtranni (n)
"prosperous, having a high and open situation",Thawveng (adj)
"to sprinkle, to splash, to sow, to throw",The (v)
"a dwarf, to be dwarf",Thehre (n)
edible fruit,Thei (n)
"can, may, to be able, possible",Thei (adj)
had it be possible (a wish),Thei chang sien (phrase)
inspite of one's weakness,Thei le thei lovin (adv)
"to be unable, cannot, impossible",Thei lo (v)
in order to,Thei na din (phrase)
"if possible, if it can be",Thei sien chu (phrase)
the name of a climbing fruit plant,Theiarbawm (n)
name of a variety of fruit,Theiarlung (n)
edible wild plant of the fig family,Theiba (n)
name of a variety of wild fruit,Theibathrukthru (n)
pomegranate,Theibufai (n)
apple,Theibuot (n)
the fig tree,Theichang (n)
"hate, dislike",Theida (v)
that is unlikeable,Theida um (v)
a Hmar Vangsie sub clan,Theidu (n)
name of a variety of fruit,Theidung (n)
the mango,Theihai (n)
name of fruit,Theiherawt (n)
a flute,Theihle (n)
the generic name of different species of raspberries and blackberries,Theihmi (n)
"a raspberry, a blackberry",Theihmul (n)
name of a variety of fruit,Theihmurkawi (n)
name of a variety of fruit,Theikawkang (n)
name of a variety of fruit,Theikelek (n)
name of a variety of fruit,Theikelki (n)
a container made of bamboo,Theikhuong (n)
name of a variety of fruit,Theikhuongchawm (n)
a fruit bearing tree,Theikung (n)
"ability, strength",Theina (n)
to forget,Theinghil (v)
unforgettable,Theinghil ruol lo (adv)
name of a variety of fruit,Theipabuon (n)
"tamarind (see also, simkerlek, tengtere)",Theipai (n)
the names of tree with edible fruit,Theipalingkaw (n)
with one’s utmost ability,Theipatawp (n)
a species of fig,Theipui (n)
name of wild fruit,Theipumlien (n)
edible fruit,Theira (n)
the name of an edible fruit bearing tree,Theiriel (n)
name of a traditional ritual performed by family members of a death after two or three lunar months so as to mark the final separation of the death and the livings,Theiriel (n)
a Hmar Lungtau sub clan,Theisekate (n)
the name of fruit,Theitat (n)
according to ability,Theitawp (n)
to contribute one’s best,Theitawp suo (v)
with one’s best,Theitawpin (adv)
"the peach, plum fruit",Theite (n)
the name of a species of small fig,Theithit (n)
name of wild fruit,Theizangkaw (n)
"to blaze (with a hatchet), to strip off bark, to trim",Thel (v)
"to throw, cast in, to submit",Thelut (v)
"to touch, to contact (with hand)",Them (v)
"skilful, to be expert, a skilled workman, a craftsman",Themthiem (adj)
unskilful (opposite of themthiem),Themtlaw (adj)
to swing to and fro,Thên (n)
"it seems, not clear, not sure of",Thèn (adv)
the name of a tree,Thén (n)
the outer space of the universe,Thengreng (n)
the name of a tree,Thenngo (n)
"to contract, to sink in, in short of air (in tube)",Thep (adj)
"piece, pieces",Ther (n)
to tuck in,Ther (v)
"a cicada, a chirping insect",Thereng (n)
"to cast out, to throw out",Thesuok (v)
to throw away here and there,Thethang (v)
"to throw down, to cast down",Thethla (v)
theology,Theulawzi (n)
"blood, to bleed, menses",Thi (n)
"to die, to be dead, expire; extinguished, to burn out, to die out (fire)",Thi (v)
"extensive bleeding in childbirth, a miscarriage",Thi hawr (n)
a menopause,Thi hul (n)
an expression of death-defying risk (dead if death life if alive),Thi le thi dam le dam (phrase)
"to be on a dying bed, to be seriously ill",Thi ngama na (adj)
to stand firm even at the cost of one’s life,Thi ngama thrang (adv)
"to die in consequence, to die as a result",Thi pha (v)
to die with,Thi pui (v)
already death,Thi sa (adv)
cause of death; what is left behind after one die,Thi san (n)
to be dying,Thi sawnga na in um (adv)
to kill and be killed as a consequence to,Thichil (v)
"faint, to faint",Thidang (v)
clot of blood,Thiduk (n)
"to know how to, to know, to be skilled; to be not guilty, to be in the right, to be innocent",Thiem (adj)
"to acquit, to pronounce guiltless, to clear of guilt",Thiem inchang tir (adv)
"to be guilty, to be in the wrong, to pronounce guilty, to condemn, guilty",Thiem lo (adv)
to make a defence,Thiem thu hril (v)
"to be cleared of guilt, to be justified",Thiemchang (adj)
bamboo and cane work (of any description),Thiemhnang (n)
one who is skilled in cane and bamboo work,Thiemhnang ta thiem (n)
"to pronounce guilty, to be convicted",Thiemlo inchangtir (adv)
"knowledge, skill, wisdom",Thiemna (n)
the name of a small sand-burrowing insect,Thiemthainumongtol (n)
a hand weaver sprinkling water on her looms to make it easy to weave,Thiemtuipek (v)
"to clear up, to clear away",Thien fai (v)
"allowed, permitted, endorsed, within the law; clear (as atmosphere), clean, lawful, right, to be clear, to be clean",Thieng (adj)
"unlawful, wrong, to be unlawful or wrong",Thieng lo (adj)
"clean, ceremonially clean, without blemish, holy, to be clean, etc",Thienghlim (adj)
cleanliness,Thienghlimna (n)
Hmar Biete sub clan,Thienglai (n)
virgin,Thienglam (adj)
virginity,Thienglamna (n)
a squirrel,Thienhlei (n)
to be in one’s death throes,Thihmun suol (v)
"to envy, to be jealous of",Thîk (v)
a clot of blood,Thikhar (n)
"jealous, suspicious, envious",Thîkthu sie (adj)
one who is jealous,Thîktu (n)
"a thing, matter, material, stuff, substance, object",Thil (n)
"to thread, pierce through, to skewer",Thil (v)
"in other respects, in other things",Thil dangah (adv)
"generous, charitable",Thil phal (adj)
"works, doings, deeds",Thil thaw (v)
one who is powerful,Thil thaw thei (v)
"to sin, to do wrong",Thil thawsuol (v)
"a sinner, a wrong doer",Thil thawsuoltu (n)
insects,Thilhring (n)
"a gift, a thing given free of cost, offering",Thilpek (n)
name of wild plant the leaf of which is used for roofing in traditional Hmar house,Thilte (n)
acts,Thilthawhai (v)
"power, ability",Thilthawtheina (n)
name of wild plant the leaf of which is used for roofing in traditional Hmar house,Thilthek (n)
"free gift, offerings",Thilthlawnpek (n)
"dark, gloomy, to be overtaken by night",Thim (adj)
"to boycott, to outcast, to stay away from",Thîm (v)
dusk or a brief period after sunset,Thimbut (n)
darkness,Thimna (n)
complete darkness,Thimtham (n)
complete darkness due to solar eclipse,Thimzing (n)
the liver,Thin (n)
"shake, to shake",Thin (v)
"touchy, easily made angry, quick-tempered, etc.",Thin inrom (adj)
jaundice,Thin invung (n)
to wound or hurt the feelings,Thin khei (v)
"to be startled, to receive a shock by bad news, etc",Thin thrawng (v)
death,Thina (n)
poison,Thina tur (n)
a hot and hasty temper,Thinbuthut (adj)
to have menstrual discharge,Thinei (v)
"a tree, wood",Thing (n)
to cut split logs for firewood using axe,Thing chèk (n)
name of insect that settles on tree barks,Thing ngê (n)
a measurement of about one mile,Thing phurna chen (adj)
one who is smart in tree climbing and others related with trees,Thing thiem (n)
a wooden plate,Thing thleng (n)
a log,Thing tum (n)
"a young log, a wood",Thing tuoi (n)
the root of a tree,Thing zung (n)
"a pile of firewood, a wood stack",Thingai (n)
the name of a tree,Thingarthau (n)
a saw,Thingatna (n)
a saw mill,Thingatna khawl (n)
sawdust,Thingatna phit (n)
"name of edible creeper plant, drumstick",Thingbelawi (n)
name of a medicinal wild tree,Thingdamdawi (n)
a variety of wild flowering tree,Thingdo (n)
the name of a soft wood tree,Thingdol (n)
the papaya,Thingfanghma (n)
a single shaft of firewood,Thingher (n)
"a pepper corn, pepper, cape yellow wood",Thinghmarcha (n)
a variety of wild tree,Thinghnapkhir (n)
the name of tree (irritating to human skin),Thinghrang (n)
firewood shed,Thinghuon (n)
"a twig, a small branch of tree",Thingkau (n)
the cassava plant,Thingkawlkai (n)
the name of a tree,Thingkha (n)
stack of firewood in the front side of a Hmar traditional hill village house,Thingkhawn (n)
a tree,Thingkung (n)
"a traditional pre-Christian ritual performed by a priest in which a liar is exposed of his crime. (A pot of rice beer is kept and filled with water up to the brim. After a brief chant by the priest, the real culprit used to disclose his hidden crimes fearing that the priest will be really calling the spirits. It is also said that the face of the culprit sometimes really appears on the rice-beer pot)",Thingkuongdeng (n)
a short undeveloped tree believed to be haunted,Thinglubul (n)
the name of a tree,Thingmather (n)
"a wood smoothing appliance use by carpenters, jack plane",Thingnawtna (n)
the name of a tree,Thingnene (n)
the outside piece of sawn timber with the bark upon them,Thingphaw (n)
a wooden plank,Thingphek (n)
tea,Thingpui (n)
tea leaf,Thingpui fe (n)
"to make tea, preparing a tea",Thingpui inlum (v)
"to seek forgiveness, to make plea (to someone)",Thingpui khai (v)
the name of a tree,Thingpuontriek (n)
"agarwood, eaglewood (use in incense, perfume and small carvings)",Thingrai (n)
"a box, a trunk",Thingrem (n)
a carpenter,Thingrem siemtu (n)
the oak tree,Thingsaisuo (n)
name of a variety of wild tree,Thingsakei (n)
a temporary raised wooden platform used in construction of house,Thingsakor (n)
the name of a tree,Thingsaphu (n)
the name of a tree,Thingsaru (n)
the name of a tree,Thingsathu (n)
the name of a tree,Thingsohle (n)
mulberry tree and fruit,Thingtheihmi (n)
"a half-burnt firewood, a one end burnt firewood",Thingthu (n)
name of edible bud wild tree,Thingthupui (n)
mountainous country,Thingtlang (n)
the name of a tree,Thingtumbu (n)
a variety of wild tree,Thingvandawt (n)
the name of a tree,Thingvokpui (n)
"the cinnamon tree, cinnamon",Thingzungthak (n)
the feeling of detestation or loathe of a critically ill or a very dirty person,Thinhrik (adj)
"ill tempered, irritable, to be bad natured",Thinsie (adj)
painful,Thîp (adj)
"to die with it, to die because of it",Thipui (v)
rough (as hair),Thir (adj)
iron,Thîr (n)
"the barbed point of an arrow, bridle",Thîrbar (n)
a basket of old tools iron pieces,Thîrbawm (n)
a frying pan,Thîrbel (n)
anchor (of ships and boats),Thîrchakai (n)
a mouse trap,Thîrchang (n)
an iron fence,Thîrdai (n)
a token item (mostly a hoe) given to the family of a girl by a boy’s family and initiate a marriage process,Thîrdam (n)
a variety of wild tree,Thirel (n)
a spoon (of iron or steel),Thîrhaihaw (n)
a magnet,Thîrhipna (n)
barbed wire,Thîrhling (n)
"telegram, iron wire",Thîrhrui (n)
sending telegram,Thîrhrui vuok (v)
a chisel,Thîrkhen (n)
"a nail, an iron nail",Thîrkilna (n)
fork,Thîrkut (n)
iron net,Thîrlen (n)
"a ball shape iron with thread use for measuring by mason, plumb bob",Thîrmum (n)
a bicycle,Thîrsakor (n)
blacksmith,Thîrsu (n)
an iron jumper,Thîrthrul (n)
oven made of iron,Thîrthuk (n)
a crowbar,Thîrtieng (n)
"a bar of iron, a jumper, a crowbar",Thîrtluon (n)
"a small iron bar used in the kitchen for heating some items (chilly, etc)",Thîrtûl (n)
iron wire,Thîrzai (n)
"to die from exposure, to die a natural death (used of domestic animals), to die and not have the usual sacrifice offered",Thisawn (v)
blood,Thisen (n)
to shed blood,Thisen insuo (v)
leukaemia,Thisen le thlin natna (n)
bleeding,Thisen suok (v)
the name of animals regarded as the king of tigers,Thithip (n)
a natural death,Thithra (adj)
a bruise,Thitling (n)
a traditional ritual performed on the first anniversary of the deaths,Thitrin (n)
"veins, arteries, nerves",Thizâm (n)
name of a species of bird,Thizîl (n)
"the moon; a month, lunar month; spirit, ghost; wings; shadow, photo; a descendant, posterity",Thla (n)
"to let go, to release, to see off",Thla (v)
down (tla thla = fall down),Thla (adv)
"a lunar eclipse, an eclipse of the moon",Thla awk lem (n)
full moon,Thla biel (n)
the first few days of the month,Thla bul (n)
a new moon,Thla de (n)
moonlight,Thla eng (n)
last month,Thla hmasak (adj)
to flap the wings,Thla khawng (v)
"to take picture, to shot camera, to take photo",Thla lak (v)
next month,Thla nawk (n)
moon rise,Thla suok (v)
the last few days of a month,Thla tawp tieng (n)
a new month,Thla thar (n)
"monthly, every month",Thla tin (adv)
to spread the wings,Thla zar (v)
"a sudden and intense feeling of fright, to receive a great shock or fright",Thlabar (n)
name of a species of bird,Thlabul eng (n)
"careless, negligent",Thlada (adj)
the name of month June,Thlado (n)
poetical term for death or those who have died,Thlafam (n)
the month of July,Thlahmur (n)
an evil spirit or ghost believed to be wandering about usually at night causing mischief and disturbing or frightening people. It is also believed to be a forerunner of death who would hover round the house of people who are sick and approaching people on a dying bed and one who could sometimes make a strange and unusual noise. It is also believed that the spirit even after death still has unfinished things to take care of or it may be that it has something to say and share to the people still living. A priest will offer sacrifices and try to communicate with this spirit and solve the problem and the unfinished task or problems,Thlahrang (n)
"to offer a sacrifice to quiet one's mind, to arrange a small ceremony so as to console someone who has overcome a tough situation such as death or terrible accident, etc",Thlahuol (n)
the generic name of all vegetables,Thlai (n)
the general name of seeds of all kinds of vegetables,Thlai chi (n)
sowing of seeds,Thlai chi thlàk (v)
a traditional ritual performed by family members of the death after one lunar month,Thlai siem (n)
"to prepare meal, to cook food",Thlai suong (v)
new or fresh vegetables,Thlai thar (n)
an event introduced by the early Hmar Christians wherein church members brought their vegetables produces to the church as an offering and give thanks to God for all His blessings,Thlai thar lawm (n)
leafy vegetables,Thlaihna (n)
a meal set out for eating,Thlaithleng (v)
to prepare a meal (esp for those outside the normal family),Thlaithleng siem (v)
west,Thlak (n)
"to succeed, to relieve, to take someone else’ place, to act as a substitute; to lower, to let down, to throw down; to drop unintentionally, to leave behind",Thlak (v)
an adverbial affix denoting 'causing' or 'begetting' (eg. lungsietum thlak= pitiable),Thlak (adv)
"westwards, the side of anything facing the west",Thlak tieng (n)
name of an ominous bird whose cry is believed to be a bad omen,Thlakhawr (n)
to hold it dear and be reluctant to part with or give up,Thlakhla (n)
"worthy of holding it dear, worthy of to being attached to",Thlakhla thlak (adv)
"dear, difficult to part with or give up",Thlakhlaum (adj)
monthly,Thlakip (adv)
"a kind of trap to catch bear, etc wherein a bait is kept on a loose platform and when the animal goes there it felt down and was pierced by sharp object place on the ground",Thlakkhur (n)
the name of a stinging plant,Thlakpui (n)
"to let down, to drop down, to lower",Thlakthla (v)
"to change, to exchange, to replace, to substitute",Thlakthleng (v)
"a substitute, a successor",Thlaktu (n)
"a photo, a portrait",Thlalak (n)
a photographic camera,Thlalakna (n)
"a photographer, cameraman",Thlalatu (n)
"a desert, a wilderness, an uninhabited country",Thlaler (n)
full moon,Thlalir (n)
to detach from the main branch or line,Thlam (v)
a jhum house,Thlàm (n)
the night the moon is invisible,Thlamang (n)
same as ‘thlamang’,Thlamawk (n)
"to comfort, to cheer, to solace, to console",Thlamuon (v)
"to be comforted, to be consoled, to be in comfort, to be at peace",Thlamuong (n)
peacefully,Thlamuong takin (adv)
"peaceful, comforting, consoling",Thlamuong thlak (adj)
"peace, comfort, tranquillity",Thlamuongna (n)
"perspiration, sweat",Thlan (n)
"a grave, a tomb",Thlàn (n)
memorial stone,Thlàn lung (n)
the day after a burial (of death),Thlàn nghak ni (n)
