en,hmr
"eastern, eastward, upwards, towards the east",Sak tieng (adj)
"above, higher up",Sakah (prepn)
"a beast, a ferocious animal",Sakawl (n)
horse,Sakawr (n)
scissor,Sakawr bakchep (n)
"name of a Hmar kindred (unau-suopui) tribe settled in Assam, Tripura, etc",Sakechep (n)
a tiger,Sakei (n)
a tiger trap,Sakei thlak (n)
a lion,Sakeibaknei (n)
a lioness,Sakeibaknei pui (n)
a Hmar traditional shawl,Sakeizangziepuon (n)
wild goat,Sakel (n)
solid (not hollow),Sakhat (adj)
"a lump, a slap, a one block",Sakhat (n)
festivals and rituals or sacrifices performed to please gods in Hmar traditional religion,Sakhawhmang (n)
the deer,Sakhi (n)
a stag,Sakhi chal (n)
a deer trap,Sakhi chang (n)
a species of rice,Sakhi ke (n)
"to assume, presume, supposition",Sakhi thing chung lawn (v)
an imaginary supposition,Sakhi thing lawn (v)
a blood sucking bug,Sakhihrik (n)
"poetical term for ""hmel"" (face, appearance, shape, form, figure)",Sakhmel (n)
"poetical term for ""name""",Sakhming (n)
"religion, religious rites and customs",Sakhuo (n)
a religious person,Sakhuomi (n)
name of a variety of squirrel,Sakik (n)
dragon,Sakol (n)
number of the beast,Sakol nambar (adj)
a horse,Sakor (n)
a cavalry,Sakor chung chuongmi (n)
chariot,Sakor tawlailir (n)
scissors,Sakorbakchep (n)
tetanus,Sakorhrik (n)
sacrament,Sakramen (n)
poetical term for the body,Sakruong (n)
"to spit out, to speak forth",Saksuok (n)
a porcupine,Saku (n)
a porcupine hair used by hand weavers,Saku chang (n)
a porcupine trap,Saku châng (n)
a Hmar Pakhuong sub clan,Sakum (n)
a captive taken in war,Sal (n)
"taking the name of (when swearing, etc)",Sâl (v)
a fine imposed in Hmar traditional justice system,Salam (n)
a Hindi originated term for salute,Salâm (n)
"without seriousness, doing things just for name shake",Salamthlak (adj)
to be in captive,Saltang (adj)
the skull of animal which is often use a symbol of greatness,Salu (n)
name of a traditional dance,Salu lam (n)
"the mainland Indian women apparels, dress",Salwar (n)
hair of the head,Sam (n)
"to run short of anything, to lack",Sam (adj)
"naming a name, to mention names",Sâm (v)
"to cut down (weeds, trees, etc), to clear (jungle), to massacre",Sam (v)
"easy, simple, quick (mostly a suffix)",Sam (adj)
to be parted like a plaited hair; a poetical term meant for separation,Sam ang thre (v)
to lay on the ground like cut grass,Sàm ang zâl (v)
to have a grey hair,Sam intruok (v)
to comb,Sam khui (v)
to plait (the hair),Sam phier (v)
"bristling hair, to stand on end (as hair)",Sam tho (n)
a rhinoceros,Samak (n)
hind leg of animal flesh given by a man to his sister in a Hmar tradition,Samal (n)
a small species of bear,Samang (n)
kangaroo,Samansanei (n)
a traditional Hmar woman hairstyle wherein she plaits the hairs into two straps and make an interlacement or a knot above the forehead by bringing forward such straps above the ear,Samkhim (n)
a hair pin,Samkilna (n)
name of a creeping plant,Sampawl (n)
winged bean,Sampawrong (n)
babbling,Samphuol (v)
winged bean,Samthawrong (n)
"a comb, to comb the hair",Samthi (n)
a bitter brinjal,Samtrok (n)
a bitter eggplant (small),Samtrokte (n)
grey hairs,Samtruok (n)
name of species of animals of the weasel-marten family,Samuoltan (n)
a hair,Samzai (n)
"a knot of hair, to put the hair up into a knot",Samziel (v)
"reason, ground",San (n)
an affix used with an intransitive verb to make it transitive,San (adj)
"to help, to rescue, to protect, to defend",San (v)
"to strain, to puff out the stomach",San (v)
giving out a wet paddy field job to someone else for a fee,San (v)
a fight with the leg (as done by hen),San (v)
"a watch, a clock",Sana (n)
a wall clock,Sanapui (n)
a Hmar Darngawn sub clan,Sanate (n)
a Hmar Ngurte sub clan,Sanate (n)
"to help, to rescue, to save",Sandam (v)
salvation,Sandamna (n)
"a saviour, deliverer, rescuer",Sandamtu (n)
younger brother or sister,Sang (n)
a thousand,Sang (n)
"high, tall, to be high, etc",Sang (adv)
"to answer, to reply",Sang (v)
a species of deer found only in Manipur valley,Sangai (n)
a species of rice,Sangailo (n)
"a Meitei originated term for a particular area of land (mostly paddy field) measuring about 40,000 sq. feet",Sangam (n)
a species of wild Rabbit that mostly lives on high cliffs and rocks,Sangawi (n)
"colleagues, allies, partners",Sangawi zawnpui (n)
an immediate younger brother or sister,Sangbung (n)
a portion of a bride price given to one of the bride’s elder sister,Sangdawn (n)
a large male wild boar that sets alone in the jungle,Sanghal (n)
a species of wild cat that mostly preyed on birds and fowl,Sanghar (n)
"messy, disorganised, chaotic",Sanghar ar raw (adj)
"the bark of ""fakhaw"" tree",Sanghar-tlengbel (n)
skin of a wild cat suspended from a high bamboo pole in Hmar traditional villages to scare away other wild animals,Sangharkuoi (n)
the fully rounded neck part of animal traditionally reserved for one’s mother’s father or brothers,Sanghawng (n)
giraffe,Sanghawngsang (n)
a giraffe,Sanghawngsang (n)
camel,Sanghawngsei (n)
a camel,Sanghawngsei (n)
"an answer, a reply",Sangna (n)
a Meitei originated term for a basket used for measuring paddy,Sangphai (n)
"to have a family encumbered with children, a family with many young children",Sangsie (v)
sanction,Sangson (n)
"to help, to rescue, to save",Sanhim (n)
"a shield, a protective wall",Sanhimna bang (n)
"rescue, liberate",Sansuok (v)
deliverance,Sansuokna (n)
"rescuer, liberator",Sansuoktu (n)
dysentery,Santen (n)
to be in constant contact with dysentery,Santen invoi (v)
sentry,Santiri (n)
added (mostly as suffix),Sap (v)
"the term use to refer to an Englishmen which originates from a Hindi term of ""saheb"" meaning, ""sir""",Sap (n)
a special meat prepared for the elders in a Hmar community feast,Sapang (n)
"to hunt, to go hunting",Sapel (v)
a hunter,Sapel mi (n)
a python,Saphai (n)
all animals that walks on four legs,Sapheimanli (n)
a blood sucking bug,Saphihrik (n)
the name of a small plant used for dyeing hair,Saphit (n)
the hog badger,Saphivok (n)
king chilly,Saphmarcha (n)
capsicum,Saphmarchapui (n)
"a pangolin, the scaly ant-eater",Saphu (n)
"the scale or skin of ""saphu"" – a medicinal but illegal trade item",Saphu kawr (n)
"to adopt another religion and custom, a convert, a proselyte",Saphun (v)
the name of a tree,Saphut (n)
the passion fruit,Sapthei (n)
leaf of passion fruit (a stable curry item),Sapthei hna (n)
"the name of the prismatic colours sometimes seen in the sky in fine weather, considered a bad omen",Sâr (n)
"healthy looking, to be healthy looking",Sar (adj)
occurrence of a prismatic colour that encircles the sun,Sâr inzam (v)
"plastic, polythene",Sarang (n)
"inpe, tlawm",Sarendar (n)
the time when new wound is fresh,Sarhu lai (adj)
dress of mainland Indian ladies,Sari (n)
giraffe,Saringsei (n)
name of a small insect with offensive smell,Sarivaithun (n)
sermon,Sarmon (n)
"an unnatural death including accident, suicide, murder, etc",Sarthi (n)
"an unexpected wind thought to be blowing because of occurrence of ""sarthi""",Sarthli (n)
"naked, nude, unclothed",Saruok (adj)
"a species of wild boar, a herd of animals",Saruol (n)
the name of fruit,Sarzuk (n)
"a Hmar man’s close friend almost similar with ""zawl""",Sasem (n)
the roe deer,Sasen (n)
to readied oneself for certain imminent danger,Saseng (v)
"the parts of a sacrificed animal set apart for the spirits or ""sabar""",Saser (n)
"to chop (with dao), to cut through",Sat (v)
"to chop clean off, to cut through",Sat bong (adv)
to cut right through in one blow,Sat fik (adv)
"a tortoise, a turtle",Satel (n)
wolf,Satene (n)
the name of a species of wild goat,Sathar (n)
a candle made from fats,Sathau khawnvar (n)
dry fried pork fats,Satheufu (n)
fermented pork (a Hmar indigenous and popular curry item),Sathu (n)
"a dried gourd in which ""sathu"" is stored (near fireplace)",Sathu um (n)
a variety of edible leave,Satinrem (n)
"common, ordinary, under any circumstances",Satlie (adj)
a slice or piece of meat,Satlin (n)
a large civet cat,Satlum (n)
a path or tract of wild animals,Satrum (n)
an item in hand loom,Satthlau (n)
"an otter, a semi-aquatic fish-eating mammal (see also ""sahram"")",Satui (n)
to swim with the hands behind the back,Satui inhlieu (v)
a meat soup (from the bones),Satuihang (n)
"all the more, more than ever, still, yet",Sau sau (adv)
a treaty or ratification of peace after war,Sauitan (n)
the animal or offerings made to ratify a treaty or reconciliation,Sauitanna (n)
a bear,Savom (n)
"the backside (trunk) of a car; a cage slotted in traditional Hmar villages where law breakers (thief, etc) and trouble makers are jailed for some period of time",Savom bawm (n)
a bear's nest,Savom bu (n)
a type bear trap (pitfall),Savom tlak (n)
the polar bear,Savom var (n)
"hide, leather",Savun (n)
to add or sprinkle salt on curry,Saw (v)
"that, that over there",Saw (prn)
a thing of similarity in a distance or a far,Saw ang saw (adj)
"that, that over there",Saw saw (prn)
that (when the object is specific),Saw taka saw (prn)
"to shake, to quiver",Sawi (v)
"to punish, to chastise",Sawi (v)
to chew or masticate (by the teeth),Sawi (v)
"to play with, to have fun with",Sawisa (v)
"to raise objections, to find fault with, to make excuse, to speak against",Sawisel (v)
"without fault, faultless, blameless",Sawisel bo (adj)
"blamelessly, perfectly, without fault",Sawisel bovin (adv)
"one given to raising objections, finding fault, etc",Sawisel hmang (n)
"criticism, objection, reproach",Sawiselna (n)
"to exercise, to put into practise, to habituate",Sawizoi (v)
"in turns, to relieve of, to help",Sawk (v)
name of a variety of flower,Sawkhlei (n)
"the name of a lizard, a gecko",Sawkkhe (n)
"relieve, reduce the pain or suffering",Sawkzang (adj)
"to be tired, to be fatigued",Sawl (adj)
the palm tree,Sawl (n)
palm leaves,Sawl hna (n)
reward for one’s trouble,Sawl man (n)
to tire,Sawl tir (adv)
a variety of wild tree,Sawlfang (n)
name of a species of wild green bird,Sawlhring (n)
palm tree,Sâwlthing (n)
"tiresome, troublesome",Sawlum (adj)
ten,Sawm (adj)
"to help, to assist",Sawmdawl (v)
"relief, assistance",Sawmdawlna (n)
poetical word for paddy,Sawmfang (n)
twenty,Sawmhni (adj)
twentieth,Sawmhnina (n)
tenth,Sawmna (n)
"move, shift",Sawn (v)
thought to be,Sàwn (adj)
"a child born out of wedlock, illegitimate child",Sáwn (n)
fine paid by a man to a woman for impregnating her out of wedlock,Sáwn man (n)
a child born out of wedlock,Sáwn nau (n)
a woman bearing an out of wedlock child,Sáwn pai (v)
a man impregnating a woman but refusing to marry her,Sáwn thlak (n)
"a storey, a tier; one above another, from one to another in succession",Sawng (n)
"like that, like those, that kind, that sort",Sawng ang saw (prn)
"in that manner, in those manners",Sawng ang son (prn)
"that, those",Sawng saw (prn)
the platform in front of a Hmar traditional house,Sawngka (n)
an elevated wooden platform temporarily constructed by hunters to wait for their targets,Sawngphan (n)
a traditional marriage that takes place with the consent of both the families,Sawngpui (n)
name of a variety of Hmar women shawl,Sawngtelaivel (n)
a Hmar Biete sub clan,Sawnlen (n)
a wild fruit almost similar with raspberry,Sawntuol (n)
"to wash (clothes, etc)",Sawp (v)
"to wash, to wash clean",Sawpfai (v)
"to employ, to use someone’s service",Sawr (v)
"to wring, to squeeze liquid out of anything",Sawr (v)
to completely squeeze liquid out of anything,Sawrkang (v)
long period of time,Sawt (adj)
"to profit or benefit by, to increase (as money), to be profitable, profitable, beneficial, quickly, to some purpose, not in vain",Sawt (adj)
from over there,Sawtaka inthok son (adv)
"there, over there",Sawtaka saw (adv)
after a short time,Sawtnawteah (adj)
"to profit by, to benefit, to get profit",Sawtpui (v)
a wild goat,Saza (n)
a kind of punishment,Sazai (n)
the name of a species of civet cat (the small-toothed palm civet),Sazaw (n)
"the sambar deer, gazelle, stag, roebuck, hart",Sazuk (n)
the name of a plant,Sazuk hnawng hlap (n)
the name a fruit bearing tree,Sazuk thei (n)
"bite, to bite",Se (v)
something that can be chew or munch,Se hme (n)
to erect a fence when a gayal already enters meaning - to do things or say something when it is already late and of no use,Se lut hnunga se dai sak (phrase)
an animal similar to both cow and mithun,Sebawng (n)
"the first ""she mithun"" paid as bride price",Sebulsu (n)
"a bull gayal, a bull mithun",Sechal (n)
name of a climbing shrub,Sechalhling (n)
name of fence erected to prevent domestic gayals to get into jhums,Sedai (n)
name of a fruit bearing wild tree,Sehawp (n)
name of a variety of weed,Sehnapthlêng (n)
"the mithun or gayal paid as bride price after ""sebulsu"" which can be of any gender or size or age",Sehnungzui (n)
a period immediately after the death of a family member,Sehrawn (n)
"chewing gum; plastic, rubber",Sehriet (n)
the Indian rubber tree,Sehriet (n)
waterproof cloth made of polythene,Sehriet puon (n)
"far, long",Sei (adj)
to grow up,Seilien (v)
where one grows up,Seilienna (n)
a Hmar Faihriem sub clan,Seiling (n)
"sturdy, well built",Sek (adj)
"again and again, over and over again, repeatedly",Sek (adv)
a big hammer,Sek (n)
to gather,Sêk (v)
a Hmar traditional house gate,Sekawtrol (n)
secondhand (cloths),Sekhonhan (n)
the name of various species of begonia plant,Sekhupthur (n)
a four anna piece,Seki (n)
a Mithun's horn used as musical instrument,Seki (n)
a fabled horn from which the owner could obtain anything he desired,Seki busuok (n)
secular,Sekiular (n)
to collect or put together in one place,Sekkhawl (v)
a Hmar Faihriem sub clan,Sekong (n)
a slip rail at the entrance of a Hmar house,Sekotrol (n)
"odd jobs, petty household duties",Sekrek (n)
secretary,Sekretari (n)
"unripe, raw, to be unripe, etc",Sel (adj)
"brave or tolerant under suffering, to endure patiently",Sel (adj)
"to contradict, to refuse",Sêl (v)
"to refute, to put to silence after argument",Sêl dong (v)
one who is good and ever ready for argument,Sêl hrat (adj)
undisputable,Sel ruollo (adv)
a Hmar Thiek sub clan,Selate (n)
the male wild 'ramsiel',Sele (n)
"one who is strict, mean, stingy",Sêlfet (adj)
"oppose, argue against",Sêlkal (v)
"contradiction, an argument against",Sêlkalna (n)
opposition party,Sêlkaltu pawl (n)
"patience, endurance",Selna (n)
opposition,Sêlna (n)
"to argue, criticise or oppose by all means",Selpawtawk (v)
a wooden pole inserted on a bamboo erected for 'inkawl' or an extra protector of a Hmar traditional thatch house against strong winds or violent storm,Selraki (n)
a wild leaf used for roofing in traditional Hmar house,Seluhna (n)
a sacrificial pole upon which the skull of a gayal is planted,Seluphan (n)
"to divide, to distribute, share something to someone",Sem (v)
to lit or kindle a fire,Sêm (v)
a refreshing breeze,Semdam thli (n)
to distribute to different persons or areas,Semdar (v)
name of a variety of weed,Semeibâwm (n)
semi final,Semi fainal (n)
seminar,Seminar (n)
to distribute equally,Semruol (adj)
a hollow tube or bamboo used to flare up the fire by blowing from the mouth,Sêmthei (n)
"red, red crimson, scarlet, burgundy",Sen (adj)
"young, infant",Sên (adj)
"repeatedly, often",Sen (adv)
light red,Sen dang (adj)
"deep red, crimson red",Sen duk (adj)
"each, all, one and all, individually",Seng (adv)
"to use up, to spend (as money, strength, etc), to give as a price",Sèng (v)
"expense, expenditure, cost",Sengso (v)
"expensive, to be expensive",Sengso thlak (adj)
the name of a red orchid,Senhri (n)
census,Sensas (n)
species of small ant,Sente (n)
sentry,Sentiri (n)
the measles,Sentut (n)
"to have measles, to catch measles",Sentut invoi (v)
building of shelter home by animals and birds,Sep (v)
"to toss up and down, separation of rice and chaff using the handmade sieve (see 'leidar')",Sep (v)
a traditional ritual performed after some three months from the death of a family member,Sepei (n)
a three-winged tree bark planted near the front door of 'anchongpa' on the day of his 'sesun inchong',Seper (n)
a beetle found mostly in cow dung,Sephum (n)
a Hindi term for soldier,Sepoy (n)
a full grown domesticated female mithun or gayal,Sepui (n)
like a 'siel' under the rain; a phrase used to mean 'facing or bearing hardship stubbornly',Sepui ruo do ang (v)
name of wild plant,Sepuinuhmarcha (n)
name of medium size wild plant of the raspberry species,Sepuinusu (n)
a scar,Ser (n)
to engrave in deeds,Ser (v)
a thousand gram or a kilogram,Sêr (adj)
"a lemon, a lime",Sèr (n)
"to keep, to observe a holiday",Ser (v)
the private parts,Ser (n)
to be all present like the different compartment of a citrus fruit,Ser ang kim (v)
"matters relating to religious rites and rituals; customs, taboos and ceremonies",Ser le sang (n)
seraph,Serafim (n)
"desolate, deserted, uninhabited",Serawp (v)
poetical term of fire,Sermei (n)
name of wild tree with lemon scented leaves,Sernam (n)
a citron,Serpui (n)
to bring out,Sersuok (v)
"to put one on top of another, to put on top",Sersuon (v)
"fortification, to circumcised, circumcision",Sertan (v)
an orange,Serthlum (n)
a species of lemon,Sertrok (n)
"the engraver, composer, smithers",Sertu (n)
"the foreskin, the prepuce",Servun (n)
the biggest pre-Christian Hmar ritual performed by a successful warrior wherein one feed the whole village folks by killing a Mithun. The soul of those who have performed this ritual is believed to have direct access to heaven along with that of his wife,Sesun Inchong (n)
set,Set (v)
Satan,Setan (n)
a variety of wild tree,Sething (n)
surroundings,Sevel (n)
shark,Shark (n)
name of flower,Sharon (n)
Sheol,Sheol (n)
a species of sesame,Si (n)
"the chaff, small broken pieces",Si (n)
poetical word for star,Siar (n)
galaxy,Sibuongruol (n)
the cedar tree,Sidar (n)
"tax, levy, cess",Sie (n)
"keep, put, lay, to deposit, to place",Sie (v)
"bad, nasty, ugly, spoiled",Sie (adj)
"to pay tax, to pay tribute, etc",Sie chawi (v)
"to collect tax, etc",Sie dawl (v)
"conscience, sense of right and wrong",Sie le thra hrietna (n)
"the tree of life and tree of knowledge, tree of knowledge of good and evil (of the Bible)",Sie le thra hrietna thing (n)
a tax collector,Siedawltu (n)
a servant,Siehlaw (n)
a cabinet member of a traditional Hmar village administration,Siehmang (n)
chief cabinet member of a traditional Hmar village administration,Siehmang Upa (n)
"to set aside, to set apart, to place separately",Siehran (v)
the spur (of a cock),Siek (n)
"to give as security, to put by for",Siekham (n)
"to store, to stock",Siekhawl (v)
"to put together, to pile up",Siekhawm (v)
pioneering,Siel (v)
the domesticated Mithun or Gayal considered as the largest and of greatest value,Siel (n)
to return home like a mithun,Siel ang lawi (v)
to put under severe physical affliction,Siel ang sawi (v)
the highest fine that can be imposed in a Hmar traditional justice system which is almost similar with a Mithun and Pig,Siel le Salam (n)
a Mithun's head usually hanged on the entrance side of a Hmar house,Siel lu (n)
a saying which literally means that children usually resemble their parents,"Siel rangin siel rang a hring, sakawlin sakawl a hring (phrase)"
a sub clan under Hmar Lawitlang Hrangchal,Sielasung (n)
a variety of wild tree,Sielhma (n)
a Hmar Lungtau sub clan,Sielhnam (n)
the fan palm,Siellu (n)
a variety of wild tree,Sieltuoi (n)
"to get ready, to make, to construct, to prepare",Siem (v)
"readymade, to be ready or already made",Siem sa (n)
"repair, improve, to make better",Siemthrat (v)
"creator, maker, one who makes",Siemtu (n)
"if it, had it, if they",Sien (v)
"even if, although, even though, though",Sien khom (adv)
"however, notwithstanding",Sienkhom (conj)
"if, if it, had if, if they",Sienla (adv)
olden day’s youth dormitory similar with Buonzawl/Zawlbuk,Sier (n)
arithmetic,Sierkop (n)
book of arithmetic,Sierkop bu (n)
a sub clan under Hmar Khawbung Punte clan,Siersak (n)
the name of a small hawk,Siersier (n)
a sub clan under Hmar Khawbung Punte clan,Siertlang (n)
"to take an oath, to swear",Siesam (v)
"to remove, to move from one place to another",Siesawn (v)
"bad, negative",Siet (adj)
a mourning program arranged in the absence of the dead body,Sietbat (n)
"to preserve, to put in order",Siethra (v)
"social events (marriage, death, etc)",Sietni-thratni (n)
to meet with misfortune,Siettuok (v)
signboard,Signboard (n)
"a ghost, a devil spirit believes to be the most genial and friendly but strong",Sihai (n)
a jackal,Sihal (n)
"to pinch, to nip (with hand nails)",Sik (v)
"to butt (as a bull), to hit using the forehead or horn",Sik (v)
harvest,Sîk (v)
the planet Mars,Sikeisen (n)
"the morning star, the Mercury",Sikhawvar (n)
"hiccup, to hiccup",Sikiek (n)
to shiver or tremble because of body temperature or fever,Sikinhning (v)
"curvy, uneven",Sikinsawi (adj)
signature,Siknechar (n)
a Hmar festival,Sikpui (n)
cigarette,Sikret (n)
"fever, feverishness, to have slight fever, to be feverish",Sikser (n)
total silence,Siksikrieu inhram (n)
a mild but nasty fever or human body temperature,Siktehmer (n)
to pinch a small object using thumb nails on one end and the point or middle finger nails on the other end,Siktehmer (v)
school,Sikul (n)
student,Sikul naupang (n)
to cover oneself (with shawl or blanket),Sil (v)
"cramp, contraction of the muscles, tired",Sil (n)
clothes to wear and cover oneself,Sil le bil (n)
gun,Silai (n)
gun powder,Silai hlo (n)
the rock of a gun,Silai kawm (n)
a measurement of paddy produced in a harvest wherein the apex of conical heap of the paddy is of same level with a gun,Silai zawn (n)
a bullet,Silaimu (n)
"to be stiff and sore, to be maimed",Silawng (v)
syllabus,Silebas (n)
to wash clean,Silfai (v)
"clothing, garments, apparel",Silfen (n)
ceiling,Siling (n)
south,Sim (n)
"to reform, to repent, to give up, to abandon (a bad habit)",Sim (v)
participate in a program,Sim (adv)
closing of the eye,Sîm (v)
"southwards, towards the south",Sim tieng (adv)
name of a variety of beetle,Simasawk (n)
symbol,Simbawl (n)
the owl,Simbu (n)
to trick into making a confession,Simbudawi (v)
the horned owl,Simbuksielki (n)
name of medicinal wild plant,Simbuthut (n)
a comet,Simeikhu (n)
cement,Simen (n)
tamarind,Simkerlek (n)
earthquake,Simkhawlei (n)
occurrence of earthquake,Simkhawlei inhning (n)
repentance,Simna (n)
southeast,Simsak (n)
name of one of the eight dances performed during Sikpui festival,Simsak lam (n)
name of a tribe,Simte (n)
southwest,Simthlang (n)
"a rat, opossum rat",Simtîr (n)
"work, job, employment",Sin (n)
"test, try, trial",Sin (v)
"a lid, a stopper, a cover, a cork, to shut, to stopper, to cork",Sîn (n)
doing work,Sin thaw (v)
to put a lit while cooking and keep the steam in,Sin up (v)
a sub clan under Banzang clan of Hmar Darngawn,Sinate (n)
cinema,Sinema (n)
"short in length or height (women skirt, petticoat, etc)",Sîng (adj)
ten thousand,Sîng (adj)
sandstone chips,Singgal balu (n)
poetical term for palatial and big house,Singin (n)
cinchona,Singkawna (n)
"a wart, a mole (in human body skin)",Singkilik (n)
a species of house spider,Singkip (n)
a poetical word for eye,Singmit (n)
"to prepare, to get ready, to make preparation, to make arrangements",Singsa (v)
name of ant which built its nest on leaves,Singsang (n)
the name of a species of bamboo used for making the bowls of men's pipes,Singtur (n)
a smoking pipe made of 'singtur',Singtur dumbel (n)
a Meitei originated term for a mixture of certain green vegetables and leaves to be eaten in raw,Sîngzu (n)
name of thorny vegetable,Sîngzuor (n)
the place where Hmars claimed themselves to have originated,Sinlung (n)
"cover, lid, cork",Sinna (n)
"to fix in the mind, to take special notice of so as to remember",Sinsie (v)
full to the brim,Sip (adj)
"top most, zenith",Sîp (n)
a soldier,Sipai (n)
the name of a constellation comprising of seven stars,Sipawikap (n)
"an offshoot, anything divided off from the parent stock (eg, a hamlet village)",Siper (n)
special,Sipisial (adj)
the hair of the crown of the head,Sipsam (n)
to carry or put on the head,Sipsuon (v)
a species of sesame,Sipui (n)
a measure of a conical heap of paddy the apex of which will be level with the crown of an ordinary sized man's head,Sipzawn (n)
"the sharp point (of a knife), a pointed top (of a church cross)",Sipzum (n)
"to tread upon, to tread (with the bottom of the foot); to visit, to call upon",Sir (v)
"the side, corner (of anything)",Sîr (n)
every corner,Sir tinah (adv)
on each corner,Sir tuok (adv)
"on the side of, at the side of",Sirah (prepn)
"notches made in a tree or hill to assist in climbing, steps of stairs",Sirbi (n)
a rice mortar (using the leg),Sirbuksum (n)
"to trample upon, to oppress, to hold in bondage, to look down upon, to despise",Sirde (v)
inflammation on the sole of the foot cause by excess walking,Sirdo (n)
syringe,Sirins (n)
trowel (of mason or house builder),Sirni (n)
"a support for the feet used when weaving, a footstool, to rest the feet upon",Sirsan (n)
"on the left or right side, to be on or put on the left or right side",Sirsawn (v)
the Pleiades,Siruk (n)
the final assault in games - reel or real life (derived from one of the latter but most severe and violent norwesters (storm or hurricane) of India and Bangladesh that synchronize with the heliacal setting of the Pleiades),Siruk lain (n)
poetical name for birds,Sîrva (n)
the details,Sise (adj)
