en,hmr
to measure one’s weight,Inbûk (v)
a weighing scale,Inbukna (n)
to be together in one spot,Inbûm (v)
spill out (liquid substance or powdery items),Inbuo (v)
to play or while away in muddy water (like a buffalo),Inbuol (v)
a Hmar Lungtau sub clan,Inbuon (n)
"wrestle, wrestling",Inbuon (n)
"to prepare, to make preparation",Inbuotsai (v)
preparation,Inbuotsaina (n)
"to pierce through and be visible (arrow); to be fully engaged in one’s assignment or job, to mind one’s own business",Inbûr (v)
children’s play with pebbles or pieces of stone,Inbuvawr (n)
to ask something from a distance,Incha (v)
to romp or play together,Inchaih (v)
"to agree with each other, to make accord",Inchalrem (v)
to put oneself in another’s place,Inchan (v)
"to discretely wait for something (such as animal or enemy, etc)",Inchàn (v)
"change into, to become",Inchang (v)
to openly engage with each other (verbal),Inchapchar (v)
"broken (like a thread, rope, etc)",Inchat (v)
"buy, to buy",Inchaw (v)
to bet with money or other items,Inchawi (v)
"to buy, to barter",Inchawk (v)
"to leap, to jump, to gallop, to canter",Inchawm (v)
to jump down from height,Inchawm thla (v)
"to make one's self tidy, to adorn one's self, to be tidy",Inchei (v)
"dress, ornaments",Incheina (n)
"scoff because of wounds, appalled, horrified, scorn and cursing",Inchek (v)
"scattered, untidy, in a complete mess",Inchek (v)
"lavish spending, reckless and uncontrolled wasting of one’s resources",Inchêk (v)
to hold each other,Inchel (v)
to single out individually against each other,Inchemhar lak (v)
to properly give birth and brought up a child,Indam (v)
to move to a separate house,Indang (v)
"to examine oneself, to search oneself or search one another",Indap (v)
"partly wet, not dry",Indap (adj)
"to be dispersed, to be scattered, to be scattered abroad, etc",Indar (adj)
to fight with each other in witchcraft or magic,Indawi (v)
making someone to sip or drink (liquid),Indawn (v)
to interrogate someone to get the truth,Indawp (v)
"to buy and sell, to barter, to bargain",Indawr (v)
to impale oneself using sharp and pointed materials,Indawt (v)
"adequate, enough, sufficient",Indei (adj)
useful or serviceable in a variety of ways or one who is available for such ways,Indeizai (adj)
to speak ill and criticise each other,Indem (v)
doing or being in a state of calm and peace (esp sleeping or sitting),Indên (adj)
to sprout out,Inder (v)
"correct, true, right",Indik (adj)
"truth, righteousness, justice",Indikna (n)
to establish,Indin (v)
to be in one another's way,Indîp (v)
to like or love each other,Indit (v)
to be at enmity or war with one another,Indo (v)
"to take care carefully, to be gentle with",Indoi (v)
"gently, carefully, temperately",Indoi takin (adv)
"to sprout, to shoot",Indok (v)
to hold the head low with worry,Indomkun (v)
"to held up each other, to help each other",Indomtuo (v)
"to ask a question, to make a query",Indon (v)
"a battle, a war",Indona (n)
"armament, armour, weapon",Indona hmangruo (n)
a warship,Indona long (n)
"world war, a big war, to be at war with somebody",Indopui (n)
"one after the other, in consecutive order, next to each other",Indotin (adv)
"to be proud of oneself, to be proud",Indu (v)
to arrange,Induong (v)
"to be mindful of one’s job, to be wholehearted in one’s assignment",Induthaw (adj)
a celebration performed after killing fierce wild animals,Inei (n)
"torn (shirt, etc)",Inek (adj)
"to squabble, to strive together to excel or rival one another, to emulate one another, to vie with one another; sprain",Inel (v)
competition,Inelna (n)
watching oneself in the mirror,Inen (v)
to examine oneself,Inenfie (v)
"to show something to others, to have oneself examine by a doctor",Inentir (v)
"to be opposite each other, to be in array one against the other",Inep (adj)
to be jealous of each other,Iner (adj)
"to feed, to give something to eat, to make someone eat",Infaktir (v)
"stretch, elastic",Infân (adj)
"to let it fall in drop, drop by drop",Infar (v)
"to gather together, to come together",Infawkkhawm (v)
"wave of the sea, water, etc",Infawn (v)
kissing each other,Infawp (v)
to invite one another,Infiel (v)
"to play, to play a game, to play a sport",Infiem (v)
"a play, a joke, a game, a sport",Infiemna (n)
a Hmar Lungtau sub clan,Infimate (n)
"to merge into one, to join together, to run into one another (as rivers), to gather together",Infin (v)
to roam or loiter freely,Infor (v)
"to encourage, egg on someone",Infûi (v)
"encouragement, advice",Infuina (n)
"to stir up, to inflame, to instigate",Infuipor (v)
"loose or long downwards (coat, jacket, overcoat, etc), to sag, to hang low",Infuol (adj)
without much liquid (curry),Inha (adj)
"dizzy, to become old and lost memory",Inhai (n)
drying things over a traditional Hmar fireplace,Inhak (v)
"to swallow the wrong way, or so as to choke, to catch one's breath",Inhâk (v)
"to quarrel, to abuse one another",Inhal (v)
"yawn, yawning",Inham (v)
to response to a voice call,Inhawi (v)
"eager, willing to",Inhawk (adj)
to be so conscious and dedicated in one’s job in hand,Inhawmthaw (v)
to gather together,Inhawrkhawm (v)
to complain or sue each other in a court of law or to competent authority; slanting,Inhêk (v)
"to encircle each other, to avoid each other for physical contact",Inhèl (v)
to turn left or right or back,Inhêm (v)
"to be equal, to equal one another",Inhen (v)
"to rise (sun), to arrive (time or event)",Inhersuok (v)
"nearly dry, dry on the top (as mud)",Inhil (adj)
to attract each other,Inhîp (v)
to hand over or pass on,Inhlan (v)
"to pass on from one to another, to hand over",Inhlansawng (v)
to earn a living on contract or daily basis,Inhlaw (v)
"a hireling, one who works for wages (v), to work for wages",Inhlawfa (n)
cheating one another,Inhlèm (v)
"fraud, trick, deception",Inhlemna (n)
crops or plants those that grows without planting or sowing,Inhli (adj)
"to be wounded, to wound oneself, to be injured",Inhliem (v)
"swim, swimming",Inhlieu (v)
"to flay, to split (as skin), to skin",Inhlip (v)
a woman forcing herself to a man’s house to be his wife without being legally married; to enter the enemy’s fortress and siege,Inhlukhum (n)
to roll down; to roll up (cotton),Inhlùm (v)
"round, spherical",Inhlúm (adj)
respecting or giving regards to each other,Inhlut tuo (v)
"early, soon",Inhma (adj)
"to forget each other, to unintentionally left out",Inhmaih (v)
to be face to face,Inhmaiton (v)
"to have leisure, to have time, to be ready",Inhman (v)
lost,Inhmang (adj)
"being involved in one activity or the other (social, church, etc)",Inhmang (v)
"to love each other, loving one another",Inhmangai (v)
"sticky, splatter",Inhmat (adj)
"hurry, to hasten, to be quick, etc",Inhmaw (v)
"hurriedly, quickly, hastily",Inhmawtakin (adv)
"matching, suitable with, harmonious with",Inhme (adj)
"to get to know each other, knowing each other",Inhmelhriet (v)
to introduce to,Inhmelhriettir (v)
"to hate each other, to be enemy to each other",Inhmelmak (v)
enmity,Inhmelmakna (n)
to meet each other physically; to agree to each other,Inhmu (v)
a nice smell,Inhmui (adj)
name of a fruit bearing tree,Inhmui (n)
a leafy edible plant,Inhmuntriek (n)
"to sulk, to show a sulky face with the lips stretch out",Inhmur (v)
to become conscious or aware,Inhmusuok (v)
to understand one another,Inhmuthiem (v)
a wild thorny leaf use for roofing in Hmar traditional house,Inhna (n)
"close, near to each other; to have a pus (on injured body)",Inhnai (adj)
"sticky, adhesive, gummy, gluey",Inhnâk (adj)
"to smell, to sniff",Inhnam (v)
"involve, to get involve",Inhnamhnoi (v)
"to covet, to want very much",Inhnar (v)
"snore, to snore, snoring (of the nose when sleeping)",Inhnâr (v)
"desirable, enviable",Inhnarum (n)
to relief oneself from nature’s call,Inhnawm (v)
boxing,Inhnek (v)
to console oneself or someone else,Inhnem (v)
"to sob, to snivel",Inhniek (v)
"good, nice (taste or smell), tasty, etc",Inhnik (adj)
"in which one pays attention to, one’s interest, one’s concern; taste",Inhnikna (n)
"to shake, shaky, to wave",Inhning (v)
"dirty, in a mess",Inhnok (adj)
"unclean, impure",Inhnop (adj)
chasing one another,Inhnot (v)
"late, being late, to be late",Inhnu (adj)
"low, not high",Inhnuoi (adj)
"comfortable, pleasant, pleasurable, comfortable, etc",Inhoi (adj)
"to enjoy pleasure, to revel, to enjoy luxury",Inhoi chen (v)
"unpleasant, uncomfortable",Inhoi lo (adj)
to feel comfortable,Inhoi ti (v)
with great pleasure,Inhoi ti takin (adv)
being receptive,Inhong (adj)
cramp,Inhra (n)
sound or cry given out by animals or birds,Inhram (v)
moving out from the main house to a new one to be a separate family mostly by a son after marriage and children,Inhran (adj)
to punish,Inhrem (v)
punishment,Inhremna (n)
cutting down (a log) bit by bit,Inhrep (v)
to know each other,Inhriet (v)
"to make it known, no notify",Inhriettir (v)
a notice,Inhriettirna (n)
"to teach, to make someone understand",Inhril (v)
"to dry, to season",Inhro (v)
"large, huge (in size)",Inhrol (adj)
"rough, tough (in behaviour)",Inhrom (adj)
to be on the opposite side of each other,Inhron (v)
"to assert oneself, to boast",Inhrosa (v)
"to dry, to season",Inhrotrawl (v)
to wipe or rub oneself,Inhruk (v)
"a towel, a cloth for wiping off perspiration",Inhrukna puon (n)
"sticky, soft",Inhruoi (adj)
to call each other using sign language or the hand,Inhûi (v)
to be over possessive on ones belonging or property,Inhukpui (v)
"to surround (animal) in hunting, etc",Inhuol (v)
"to be affianced to each other, to engaged each other for marriage",Inhuol (v)
engagement for marriage,Inhuolna (n)
to be ready or willing,Inhuom (v)
"to fence, to make boundary wall around",Inhuon (v)
to scratch oneself,Inhuot (v)
restless (person),Inhuot (n)
"to be dissatisfied with oneself, to feel oneself small when compared with others",Iniei (v)
to feel extreme pain,Iniel (v)
"pride, egotism, conceit",Iniem (n)
"to be fast asleep, to sleep properly",Ininhnik (v)
to die,Ininnghil (v)
to hold one’s breathe,Inip (v)
to hiccough,Inirh (v)
to inflict (disease) from one to another,Inkaisawng (v)
communicable (disease),Inkaisawngthei (n)
"split, come apart",Inkâk (v)
to oppose each other; to make a rough sketch,Inkal (v)
"contradiction, disputation",Inkalna (n)
"to stand up for or by one another, to help",Inkam (v)
"to mutually support or hold up, to be mutually dependent",Inkamki (v)
"lifted on the upside, being lifted up",Inkâng (v)
"to fight, to shoot at one another",Inkâp (v)
"a fighting with fire arms, an exchange of fire, a battle",Inkapna (n)
in between,Inkar (adj)
far off,Inkarakik (adj)
"one after another, in sequence",Inkarthlakin (adv)
ever ready,Inkausa (adj)
crossing one another,Inkawkal (adj)
the bamboo pole spread over a Hmar traditional house to give extra protection from strong and violent storm,Inkawl (n)
"swollen, bruise, blister",Inkawng (v)
pulling each other (like in ‘tug of war’),Inkei (v)
giving space to someone,Inken (v)
"hang, hanging",Inkhâi (v)
"smart, slim",Inkhaithli (adj)
"to freeze, to turn into ice, to get frozen",Inkhal (v)
promise under oath,Inkhâm (n)
to place anything long in a more or less horizontal position either on the ground or with one end on the ground and the other slightly raise,Inkham (v)
"to be different, to bear no comparison to one another",Inkhan lo (v)
to places (anything long) in a more or less horizontal position,Inkhang (v)
to restrict,Inkhap (v)
restriction,Inkhapna (n)
lockdown,Inkhârkhip (n)
"sparse, long gap",Inkhât (adj)
head of the family,Inkhatpa (n)
"to assemble, meet, to come together",Inkhawm (v)
a meeting,Inkhawmna (n)
"a convention, a conference, an assembly",Inkhawmpui (n)
"to collect a solid mass in the body, etc",Inkhawn (v)
to play game,Inkhèl (v)
"games, sports",Inkhelna (n)
"twisted together, to be twisted together; a young man or woman wooing each other",Inkher (v)
"to measure, to compare, to weigh, to balance",Inkhi (v)
name of a wild forest tree,Inkhieng (n)
"quarrelling, at loggerheads",Inkhik-inkhal (n)
"measurement, a unit of measurement",Inkhina (n)
to fight or contest each other,Inkhing (v)
"cough, to cough, coughing",Inkhul (v)
bronchitis,Inkhul benvawn (n)
"to cover with cloth, etc",Inkhum (v)
"to put on someone else’ head (a hat, a cap, a head gear, etc), to crown",Inkhumtir (v)
"to control, to discipline",Inkhuokhir (v)
to play as being grown up persons (by kids),Inkhuoltelem (n)
"to be united, cohesive, etc",Inkhuongruol (v)
"to turn upside down, to turn the face downward",Inkhup (v)
"to entrust with, to give into one's keeping",Inkoltir (v)
"constrict, squeeze, etc",Inkon (v)
"to be friends with mind, to be or cause to be of the same, to be in pairs",Inkop (adj)
to carry a load on each end of a stick the centre of which rests on the shoulder,Inkot (v)
to roll down (some or round spherical object),Inkûi (v)
"to lodge at a place and provide one's own food, to fortify",Inkul (v)
bending (backbone),Inkûl (adj)
a variety of wild tree,Inkûm (n)
to have a connection with each other,Inkungkei (v)
"relationship, kinship",Inkungkeina (n)
"hug, hugging",Inkuo (v)
"round, spherical",Inkuol (adj)
put in the middle,Inlai (v)
related by blood or by other means,Inlaichin (adj)
relationship,Inlaichinna (n)
to be in good relationship,Inlaina (n)
"to be in power, to be in authority",Inlal (v)
to go anywhere and return the same day,Inlan (v)
to go and return on the same day,Inlan (v)
to appear; to show one's self (as a spirit),Inlân (v)
"to appear, to be visible, to show oneself",Inlang (v)
"to become unpopular, to lose the esteem of others, to come into disrepute, to give place to, to float",Inláng (v)
"going and returning the same day, going and getting back the same day",Inlanin (adv)
"popular, famous",Inlâr (adj)
"revelation, manifestation, appearance",Inlarna (n)
"to be shocked, to be surprise, shaken",Inlau (v)
"shocking, dazzling",Inlauum (n)
a mating call (pullet); about the age of maturity (a girl),Inlaw (v)
a formal send of program to a married daughter by her parents,Inlawi (n)
assisting and helping each other in the jhum works,Inlawm (n)
"swelling, inflamed",Inlawng (adj)
complaining one another to someone else,Inlawttuo (v)
to pass on one’s share to another,Inle (v)
"playful, not serious",Inlek (adj)
to walk pass,Inlekhal (v)
to float something or oneself in water,Inlèn (v)
"just fit enough, fitting",Inleng (n)
to court (boy and girl),Inlêng (v)
"to flash as lightning, twinkling",Inlep (v)
"translate, to upside-down, to turn back",Inlet (v)
"red hot, to be red hot",Inling (adj)
to peel of the skin,Inlip (v)
a wheeled motor vehicle,Inlirthei (n)
to cover up the head,Inlukhup (v)
"proud, self-righteous, arrogant",Inluling (adj)
to boil water,Inlum (v)
"to agree with one another, to be unanimous",Inlungruol (v)
"vomit, to vomit",Inluok (v)
to fall asleep while sitting or standing,Inlusu (v)
to search for something insignificant,Inmai (v)
"separation of husband and wife, divorce",Inmâk (v)
"cheap, low in price, inexpensive; sticky",Inman (adj)
"to deliver up, to cause to be seized, to let someone to be caught or arrested",Inmantir (n)
matching,Inmil (adj)
"round, spherical in shape",Inmum (n)
to move and lived in a separate house,Inmuolvom (n)
slippery,Innal (adj)
"to smell of, to give forth a smell, to be strong smelling",Innam (adj)
"to marry each other, to get married",Innei (v)
a marriage,Inneina (n)
a wedding ring,Inneina kutsebi (n)
"a marriage certificate, a marriage document",Inneina lekha (n)
a notice of marriage proposal pasted on the notice board of a chapel (that has to be intact for a certain period of time so as the wedding to take place),Inneina lekha tar (n)
"fine in texture, soft, weak (as beer)",Innem (adj)
"to ask a smaller price than the right value, to offer a price than the one quoted, etc",Innêp (v)
"to be in love with one another, to love one another, to copulate",Inngai (n)
"to exalt one's self, to be conceited, to think highly of one's self, to be proud",Inngaihlu (n)
"to be close in heart and soul, to love and care each other",Inngaina (n)
"to humble one's self, to be humbled, to be modest in mind, to be humane, to think little for one self",Inngaitlawm (n)
humility,Inngaitlawmna (n)
"to think about, to consider",Inngaituo (v)
"to be in love with one another, to be lovers (boy and girl)",Inngaizawng (v)
"bark, a dog’s bark",Inngak (n)
to challenge each other,Inngam (v)
gritty,Inngap (adj)
to get rotten and form a maggot or worm,Innge (v)
"to be in good terms, to get on well together, to agree together",Inngei (v)
to sound produce by pigs,Inngêk (v)
to lean on,Innghai (v)
name of a species of house spider,Innghak (n)
to put down (as a load upon the ground) to rest against or upon,Innghat (v)
"to quarrel one with another, to be at loggerheads, to be at enmity",Innghirngho (v)
"to have a sober look, to be sombre, to be not smiling",Inngup (adj)
van innim,Innim (adj)
"soft, tender",Inno (adj)
"to laugh, to smile",Innui (v)
"smile, laughter",Innuina (n)
"to administer, administering",Inop (v)
constitution,Inop Dan (n)
"to exalt, to praise, to give thanks, to recommend",Inpak (v)
"to flatter, to pretend in praise",Inpak der (v)
"to receive praise, to be well reported of",Inpak hlaw (v)
"exaltation, praise, laud",Inpakna (n)
"songs of praise, worship song",Inpakna hla (n)
hymn book of praise,Inpakna hlabu (n)
praiseworthy,Inpakthlak (n)
"to forbid, loathing, reluctant to part with or give up",Inpâm (v)
that which is being of valued and loathe to part with,Inpamum (n)
"ulcer, sore",Inpan (n)
name of thorny species of tree with cotton like buds that grows on steep slope and cliffy areas and often refer to as a by-product of disobedience,Inpâng (n)
to be in close proximity physically or mentally,Inpaw (v)
"to have a bad name, to be defamed",Inpawi (adj)
"to be friends, to be together as friends; to copulate, to have sexual intercourse",Inpawl (v)
"to associate with, to make up after a quarrel",Inpawlngei (v)
"to act violently, to try and push out each other violently",Inpawngnek (v)
violence in the process of pushing or shoving each other,Inpawngnekna (n)
"surrender, to submit oneself",Inpe (v)
"ready, to be ready",Inpei (adj)
"to pass on, to hand on",Inpeksawng (v)
to shift from one village to another with whole family and one’s belongings,Inpêm (v)
connected or related with each other,Inpengtuo (adj)
"to stamp, to hop violently (those who are about to die)",Inper (v)
"flat and thin, flat",Inpêr (adj)
"decline, refusing to accept a duty or responsibility entrusted upon one’s shoulder, to deny oneself, to excuse oneself from",Inpha (v)
"to be generous, one who is being generous",Inphal (n)
to behave properly with propriety so as not to offend,Inphalam (v)
to follow one another in succession without a break (so that by the time one is finished with another is on hand),Inphamat (v)
"without break, continuously, one after another in rapid succession",Inphamat zatin (adv)
"thin, slim, slender, not thick",Inphân (adj)
having leprosy,Inphâr (n)
"betray, to betray or deceive",Inphat (v)
being betrayed or deceived,Inphatsan (adj)
bark of a deer,Inphawt (n)
to divide equally,Inphel (v)
to shelter oneself behind,Inphen (v)
clean or washing oneself,Inphifai (v)
"to go one strike, to agitate",Inphin (v)
twins,Inphir (n)
"to be in right proportion, to be of equal value or price, to be properly matched",Inphutawk (null)
the main house of a family where the head of the family (father) stays,Inpui (n)
"widows and orphans who submits themselves to the chiefs or a rich man’s house to be slaves (they are employed according to their ability but receive no wages except food, shelter and clothes and are allowed to marry and start their own home)",Inpui Suok (n)
to lend,Inpuktir (v)
"unite, united",Inpumkhat (adj)
unity,Inpumkhatna (n)
"to devote oneself, to surrender in full, to consecrate oneself",Inpumpek (v)
"to assemble, to call to assist, to mobilise, to call in for help",Inpun (v)
"to take after, to resemble (parents or elder by younger and not vice-versa)",Inpuo (v)
to prepare oneself,Inpuocha (v)
confess,Inpuong (v)
confession,Inpuongna (n)
"pregnant, to be or become pregnant",Inrai (adj)
name of a wild fruit,Inrainuthei (v)
keeping a good lookout for danger,Inralring (v)
"to annihilate, to destroy, to put out of existence",Inram (v)
"fast, quick, swift",Inrang (adj)
quickly,Inrang takin (adv)
to shout at each other in an angry tone,Inràu (v)
to burn,Inraw (n)
"lead, to lead",Inrawi (v)
"leader, one who leads",Inrawitu (n)
to give something secretly,Inrawlruk (v)
"to consult together, to reason together, to ask advice of one another",Inrawn (v)
"consultation, a conference",Inrawnkhawmna (n)
"a feeling or a desire for meat, etc after abstaining from it or being denied of it for some time",Inrawp (n)
"the slenderer area or point than the main area, a slender or thinner area",Inrêk (adj)
to arrange or prepare oneself,Inrelbawl (v)
"to move away from in a discreet manner, to escape, to run away secretly",Inrelhmang (v)
to be at peace,Inrem (adj)
"an accord, a peace accord, an agreement",Inremna (n)
"to economize, to manage with thrift, to use carefully",Inret (v)
to be bordering with each other,Inri (v)
lonely,Inrieng (adj)
"deep, full of meaning, multi-dimensional",Inril (adj)
"tired, worn out, exposed or subjected to friction of wear and tear, to be tired, etc",Inrim (n)
"to be ready, to be prepared",Inring (v)
loud (sound),Inring (adj)
"unexpectedly, when unprepared",Inring naw karin (adv)
"to prepare beforehand, to keep a good look out, to get or be ready",Inringlawk (adv)
Saturday,Inringni (n)
trusting each other,Inrington (v)
"to resent, to be reluctant to let go, to be reluctant to part with",Inro (v)
"in a position to inherit a property, use to describe closeness by blood",Inrohluo thei (v)
to rob oneself or each other,Inrok (v)
to interfere,Inrol (v)
"brittle, fragile, crisp, easily broken",Inrom (adj)
"to steal secretly, to thieve, slyly, on the sly, stealthy",Inru (v)
"one who is in the habit of stealing, one who often steals",Inru hmang (n)
"to be drunk, to be intoxicated, drunk, intoxicated",Inrui (v)
to intoxicate,Inrui tir (v)
"to steal secretly, to thieve, slyly, on the sly, stealthy",Inruk (v)
"rough, tough",Inrum (adj)
"to groan, to growl, to purr",Inrûm (v)
to invade each other,Inrûn (v)
"together, at the same time, in one",Inruol (adj)
"compete, to compete",Inruolsiek (v)
"to befriend, of friendship",Inruoltha (n)
"of the same age, a contemporary",Inruolthlak (v)
getting oneself involves in an issue uninvited,Insahla (v)
to personate,Insâl (v)
"to strain, to puff out the stomach",Insan (v)
high,Insâng (adj)
immediate younger sibling,Insangbung (n)
"to retreat so as to avoid imminent bad situation, to wind-up oneself after having a hint that something bad is on the way",Insaseng (v)
"shaky, shaking",Insawi (v)
"to take exercise, to practise austerity",Insawizoi (v)
an exercise,Insawizoina (n)
"to relieve one another, to take turns, one after another",Insawk (v)
"washing, to wash",Insawp (v)
full of grudge and demanding (like baby),Insek (adj)
to quarrel over something,Insekhek (v)
"to argue, to contradict one another, to discuss, to dispute",Insel (v)
"argument, dispute, debate",Inselna (n)
"to divide, to portion out",Insem (v)
observed,Inser (v)
"one on top of another, layer upon layer",Insersuon (adj)
what one does after eating a hot chilly,Insi (v)
name of wild tree,Insie (n)
to be or get ready,Insiem (v)
to medically arrange oneself so as not to get pregnant again,Insiem (n)
to have a miscarriage,Insiet (v)
"to bathe, to wallow",Insil (v)
bathroom,Insilna pindan (n)
"sneeze, to sneeze",Insim (v)
to shut as the eye,Insîm (v)
"short in length or height (skirt, petticoat, pant, rope, etc)",Insîng (adj)
"prepare, to prepare oneself, to make oneself ready for something",Insingsa (v)
"to regret, to repent",Insîr (v)
"repentance, contrition",Insirna (n)
"to be self-dissatisfied with; to light up, to put on (lamp)",Insit (v)
the feeling unsatisfactory or deficiency,Insitum (adj)
to plant in a nursery plant,Inso (v)
"to move, to shift",Inson (v)
unclean and untidy,Insop (adj)
"to sway up and down, to swing up and down",Insu (v)
"to hit something accidentally by the toe, to kick the foot against something",Insui (v)
to merge into one,Insuifin (v)
to join or merge together,Insuikhawm (v)
"to collide, to knock against each other",Insuk (v)
to get into trouble and fight with one another,Insukbuoi (v)
to weaken oneself or each other,Insukchau (v)
"to practise austerity, to deprive one's self of anything",Insukdawng (v)
to refresh oneself or each other,Insukhar (v)
to make oneself happy and gay,Insukhlim (v)
"to do one's self harm, to make one's self disliked",Insukhmaimawk (v)
"to get possessions, to be wealthy or rich",Insukmuk (v)
to become great and then turn rude and unmannerly,Insukngeng (v)
to accidentally injure oneself physically,Insukpal (v)
to denigrate oneself,Insukpawi (v)
to clean or purify oneself,Insukthienghlim (v)
to think oneself wise; to be proud of one’s own ability,Insukvar (v)
"to overlap one another, to go by different roads and so miss one another",Insulpel (v)
a signal given to each other on jhum path that they have gone ahead,Insulthliek (n)
"abstinence, to be temperate, to restrain one's self, to desist",Insûm (n)
"temperate, abstemious",Insûmthei (n)
"the rafter of a roof, roof beam",Insun (n)
"family; inside a house, indoor",Insung (n)
