Word,Description
Ah (suffix),a suffix denoting a specific place or time (almost similar with ‘at/in/on)
Ai (n),crab
Ai (n),"the power of fascinating, charming, or getting power over"
Ai (prep),instead
Ai chil zat (phrase),expression of something which is very less as that of the saliva of a crab
Ai kaw tawp thrang (phrase),to exert all one’s might to save oneself as a crab is doing inside its den
Ai lam lawn (v),to walk like a crab
Ai mit tlong ang (adj),complete darkness wherein one can’t see anything
Aiaw (v),to become a substitute
Aiawtu (n),substitute
Aibu (n),name of creeper with strong odour used to catch fish
Aichal (n),"name of edible plant, greater galangal"
Aidu (n),"name of wild plant, myoga ginger"
Aien (v),to augur
Aieng (n),turmeric
Aienthiem (n),an augur
Aifier (n),a variety of crab
Aigupta (n),Egypt
Aihna phapui (n),"close colleague, mates, comrades, associates, a colleague in all time"
Aihredawn (n),the sprout of edible ‘aihrie’
Aihrepar (n),the flower of edible ‘aihrie’
Aihretil (n),the shoot or sprout of edible ‘aihrie’
Aihrezung (n),the root of edible ‘aihrie’
Aihrie (n),name of edible wild plant
Aiin (prep),"instead, instead of"
Aiinkhuop (v),stiffed or cramped
Aikei (n),"to fascinate, to charm, to draw by some mysterious power"
Ailaidum (n),name of edible wild plant
Aimeiser sit (v),a common form of catching crab practices by Hmars in which they use fire as torches
Aimol (n),name of a Hmar kindred (unau-suopui) tribe settled in Manipur
Ainawn (n),name of flower
Ainuinvet (n),a scorpion
Aipar (n),edible small plant
Aipui le aite nei (phrase),an expression of someone who is very friendly at one point but completely hostile sometime; one who change their behaviour constantly
Airuo (n),the rain that falls usually in the early part of winter and after which the crabs disappeared for their winter hiatus
Aisân (v),to augur
Aisânthiem (n),an augur
Aisen (n),a species of red crab
Aite fun suol ang (phrase),a comparison of someone who cannot just sit calm and quite with that of a crab that cannot be tied with all the legs
Aitecheu (v),"a trial, a test, an experiment"
Aithang (n),"fish mint, heartleaf"
Aithing (n),ginger
Aithing par (n),the bud of ginger and favourite curry items of the Hmars
Aithur (n),name of edible plant
Aitlang (n),a species of wild edible plant
Aium (n),spider
Aiumril (n),spider web
Aivompui (n),a species of bigger crab
Âk (n),the spade in playing cards
Akaun (n),account
Al (adj),salty
Alâm (n),alarm
Alcer (n),ulcer
Alfa (n),"alpha, the first or beginning"
Alkatara (n),"bitumen, asphalt"
Almaira (n),derived from a Hindi term of Almirah
Almon (n),almond
Alu (n),potato
Am (prn),is it?
Âm (v),spending (time) more than originally intended
Ama le ama (prn),by himself
Ama ta (prn),"his, hers, belongs to him"
Ama-in/Ama’n (prn),by him/by her/by himself/by herself
Ama/Ama ta (prn),he/his/she/her/himself/herself
Amal malin (adv),"one by one, one at a time"
Amani (adj),"may be, somebody"
Amani (cnjn),"or, whether or, either"
Amaw (n),a Hmar Thiek sub clan
Ambulens (n),ambulance
Ambush (v),ambush
Amen (n),amen
Amenmen (v),amendment
Amik a mak (adv),rhymes and reasons
Amiruokchu (cnjn),"however, but, though"
Amo (n),a Hmar Thiek sub clan
An (prn),"they, their, them"
An (n),the generic name for all edible green leaves
An le (cnj),"if it is so, then"
An le aw (phrase),"a parting words, so long"
An rengin (n),all of them
Anachu (conj),"but, however, on the other hand"
Anaran (adj),ordinary
Anazong (adj),"ordinary, not of any speciality"
Anbong (n),the name of edible leaves
Anchongpa (n),one who performed ‘Sesun Inchong’ or victory feast
Ang (adj),"look alike, resemble, similar"
Âng (n),"the bosom, the lap, the space between the chin and knees"
Ang ang (adv),"just as, as"
Ang bokin (adv),likewise
Ang char (n),the exact likeness of
Ang charin (adv),"exactly like, just as"
Ang chun (conjn),"as if, as though, like as"
Ang lovin (prep),"unlike, contrary to, in contrast to"
Ang peiin (adv),"accordingly, like as"
Ang rengin (adv),"as if, as though, just as"
Angel (n),angel
Angin (prep),"as if, as though, like as"
Angkhat (adj),"alike, the same kind"
Angsung (n),"in the safe and secure protection of, in the arms of, by the side of"
Angur (n),poetical term for the rich and mighty
Anhling (n),"black nightshade, edible leaf"
Aninkei (n),an edible shrub plant
Anka (n),"by the mouth, literal term for words from the mouth"
Ankhapui (n),big wild edible jungle creeper
Ankhate (n),small wild edible jungle creeper
Annaw khawmin (cnj),if that is not so
Annaw le (cnj),if that is not so
Annaw tawp leh (cnj),if that is not so
Annaw tieng (adv),the wrong way
Annawm (adv),"yes, it is"
Anni (prn),"they, their, them"
Anni le anni (prn),they by themselves
Anni ta (prn),theirs
Anphui (n),"the name of edible leaves, east Indian glory bower"
Anranlai lam (n),name of one of the eight dances performed during Sikpui festival
Ansalai (n),the name of edible leaves
Ansapui (n),the name of edible leaves
Ansate (n),"paracress, toothache plant"
Ânsie (v),"to curse, to be cursed"
Ansiedong (n),"cursed, one who is cursed"
Ansuonglung (n),the name of edible leaves
Anthok (conj),"from, since, ever since"
Anthûr (n),"the name of edible leaves, Roselle"
Antram (n),mustard
Antram bulbâl (n),"radish, turnip"
Antram selfak (n),lettuce
Antui (n),boiled vegetable
Antumbu (n),a variety of edible plant
Anzo (n),the name of edible wild leaves
Ap (adj),that has turned pale and dry
Apawinmen (n),appointment
Apawstrawfi (n),apostrophe
April par (n),name of flowering tree that blooms in April
Ar (n),"a fowl, chicken"
Ar ang invai (phrase),to be wandering around not knowing where to go or an expression of lost in desperation
Ar awm (v),a form or style of cooking chicken wherein the meat stuffed in a small pot is cooked in the water of a bigger pot
Ar bu zât (phrase),a small amount as less as a fowl’s feed
Ar chil zât (phrase),a small amount as less as a fowl’s saliva
Ar chuk tlak loa insiem (phrase),"to make someone or oneself worthless, disgusting or distasteful"
Ar ha trim (phrase),expression of something which is not at all believable or acceptable or a total lie
Ar hmai tiet (n),"a measurement of area of a smallest size, a small size plot of land"
Ar in (n),"a coop, a chicken cage"
Ar indi chen chauh (phrase),a short period of time like the time taken by fowl for mating
Ar inlaw (n),a mating call given by a pullet
Ar inlawi (v),to entice fowls into their coop or cage
Ar inthrum (v),to bring down a hen after it hatched
Ar kai zan (n),a full moon night when the moon rises at a time when fowls return to their cage in the evening
Ar khawthim pal (phrase),lost like a hen going out in the night
Ar khuong (v),cock crow
Ar lam zong (n),"a pioneer, one who go ahead on behalf of others"
Ar leilak (n),a wooden step made for fowl to climb to ‘arril’; a makeshift small bridge built over a small stream or between two high cliffs in jungles
Ar mit trĕ khuong (phrase),to sing or shout at the top of one’s voice without considering whether it is sweet or not
Ar mu thrâm threl ang (phrase),expression of extreme and sudden fright like a fowl that escape a deadly attack by an eagle
Ar op dom ang (phrase),a light weight as light as a hatching hen
Âr thla khirh vor ang (phrase),expression of a massive lost
Ar thla tliek (phrase),"expression of someone who is lethargic, sluggish and unenergetic"
Ar thli mût ang (phrase),expression of instable position like a fowl that is blown by a strong gust
Ar tieng leikhup ang (phrase),"expression of one losing everything due to one’s greediness or avariciousness, to be in trouble due to one’s self-indulgence or voracity"
Ar triel vara var (phrase),"expression for someone who is under false pretences, cunning, clever, unprincipled, treacherous, deceitful or hypocritical"
Ar vêng ding khoma tlâk lo (phrase),expression of complete worthlessness and unfit for any assignment
Aranke (n),name of a wild shrub
Arasi (n),star
Arasi ek (n),"a shooting star, a comet, meteor"
Arasi hnuoia innei (n),a marriage without parents' consent or to elope and get married
Arasi leivir (n),planet
Arasi puon (n),name of a Hmar traditional shawl worn by women
Arasiek (n),a variety of shrub with flower
Arawn (n),a peacock
Arawngtuoi (n),a variety of big shrub
Arbawm (n),a portable chicken cage usually meant for young chicken
Arbawmbilinglet (v),somersault
Arbudap (n),name of a variety of fern plant (the dried leaf use as cushion for egg laying hen)
Archal (n),cock
Archal chan chang lai (phrase),expression of the time while one is a victor and is boastful and demeans others like a cock that won a cock-fight and proudly crows from a high point
Archang (n),the long feathers in the tail of a cock
Archangkawm (n),name of an edible jungle plant
Archuong (n),the comb of a cock or hen
Ardali (n),orderly or a personal staff of an officer who is engaged mostly in domestic work
Ardan (n),"the name of a tree the shoots of which are used as a medicine for toothache, etc"
Arengin (adj),"all, whole"
Arh (adj),"diverging, increasing"
Arhrik (n),louse of a fowl
Arke (n),the pendulous clusters of young ‘zawngtra’ or bitter beans pods
Arkitek (n),architect
Arla (n),a pullet
Arla tui zât (phrase),a small number as few as pullet’s egg
Ârlei (n),name of a variety of weed
Armei (n),a Hmar Changsan sub clan
Armonghol (n),the stick insect or praying mantis
Arngan (adj),a form or style of cooking chicken (see also ‘ar awm’)
Arpui (n),hen
Arpui mei (phrase),"a comparison of a more or less equal in all respect, united in thoughts and ideas or opinion"
Arpui mit insîm (phrase),to half-close the eye like the way a hen does; to pretend not seeing
Arpui nêne ngên (phrase),to demand or plead greedy and rapaciously
Arpui nene sem (phrase),to divide ones belonging or property to the point where there is nothing left for oneself
Arrîl (n),"a fully grown up chicken cage, a fowl house (usually built on the entrance and lower slope side of a Hmar house)"
Arsuktul (n),killing of chicken by poor families who could not afford a four-legged animal as sacrifice and prayer for the soul of the death of their family members inside their house. The killed chicken is hanged upside down and so is the term
Arsuktul hlaw zo loa thi (phrase),a death under extreme poverty (with a hint of ‘arsuktul’)
Arte (n),chicken
Arte lukawk (v),"to lose everything, to lose whatever one possesses, everything gone"
Arte thia thi (v),a death with none to look after or care
Arthakzawl (n),"a particular good flat place near Senvon village in Manipur where fowls are kept or shifted during ‘Khawser’ or a Pre-Christian ritual in which no noise or sound is to be made by men or animals. During early Christian days, some non-Hmar dialect using leaders of the Church surreptitiously gathered at this place in one dark night to make a plan to do away the use of Hmar dialect in the Church. The very spot was mysteriously shaken to shreds after some time by nature and is no more a flat surface"
Arthatzawl (n),a particular good flat place near Senvon village in Manipur use as ‘bawlhmun’ in pre-christian era where fowls are killed as a sacrifice
Artikul (n),article
Artui (n),egg
Artui doma dom (v),to give utmost care (like an easily breakable egg)
Artuite eng (n),the yolk of the egg
Aruolin (adv),"simultaneously, together, at the same time"
Asan (n),reason
Asan chu (adj),the reason is
Asembli (n),assembly
Ashok (n),ashoka tree
Asid (n),acid
Ât (v),"cut, to cut, to flay, to skin, to split (as cane)"
Athu (n),a Hmar Thiek sub clan
Atkora (n),name of fruit as well as spices
Authawriti (n),authority
Auto (n),a three-wheeled taxi engine
Automatik (n),automatic
Aw (adv),yes
Aw (v),denoting time spent
Aw (intjn),an interjection denoting surprise
Aw leh (adj),"all right, OK"
Aw oi (adv),"no, not"
Aw paw (v),"to reply, to answer; to agree with"
Aw paw lo (v),"to make no reply, to give no answer; to disagree with"
Aw phawi (n),"accent, intonation of the voice"
Awfis (n),office
Awfisar (n),officer
Awi (v),"to hush, soothe or rock a baby to sleep"
Awi (v),"to believe, to allow, to obey, to accept as true"
Awi in (v),to lull to sleep
Awi lo (v),"to disbelieve, to disallow, to disobey"
Awi makmaw (adv),"that has to be believed, convincing"
Awi tlak (adj),credible
Awinu (n),"the heron, a fish-eating bird"
Awipui (v),to assent to
Awirielthei (n),grape
Awium (v),credible or believable
Awk (v),"caught (by trap), etc"
Awk (n),the name of a fabulous creature which is supposed to swallow the sun or moon during an eclipse
Awkhlum (v),to hang to death
Awkin lem (v),"an eclipse, to be eclipsed (as sun or moon)"
Awksizen (n),oxygen
Awktalaileng (adj),one that has been captured
Awl (v),"off, to rest, to have nothing to do"
Awl (adj),"vacant, empty, free"
Awl (adj),easy
Awl len lai (n),the slack time after the jhum is cut or when the weeding is over or after harvest
Awlai (adj),easy
Awle (n),"alligator, crocodile"
Awlif (n),olive
Awlsam (adj),easy
Awm (n),"the chest, the breast"
Awm (v),to cook by steam
Awm (adj),"probable, likely, reasonable, ought to, probable"
Awm khauh (adj),"burly, well built"
Awm lo (adj),"unfitting, inappropriate, improper"
Awm na (n),"chest pain, an ailment, pneumonia"
Awm naw taluo (adv),"unreasonable, improperly"
Awm nem (adj),"weak, not sturdy (in physique)"
Awm reng (adj),"reasonable, possibility"
Awm ru (n),the breast bone
Awmnem (n),one who is weak mentality; sensitive or an emotional person
Awmpar (n),"the chest, physique"
Awmpawng (n),"an edible fruit of a creeping plant, luffa"
Awmphaw (n),"shield, armour (of the chest)"
Awmtawk (adj),"appropriate, roughly, approximate"
Awmthusuok (n),"words from a person’s self, speculative opinion"
Awmvel (n),herpes zoster or skin eruptions
Awn (adj),"lean, slant"
Awnazong (v),seeking for excuse or alibi
Awng (n),"a hole, a free space, an aperture"
Awngkar (n),hole of a floor
Awngrop (adj),"weak, worn out (as house, man) etc"
Âwngthlâk (n),hole of a floor where waste items are dropped
Awp (v),"to brood over, to sit (as a fowl); to govern, to rule"
Awphawi (n),"tone or mode of voice or speech, accent"
Awpiam (n),opium
Awpkeu (v),"hatch, to hatch"
Awptlei (v),"to bring up (as a child), to rear"
Awptu (n),"a ruler, a governor, one who look after"
Awr (n),"neck, throat"
Awr (v),putting something on the neck as necklace
Awrbawk (n),goitre
Awrdar (v),order
Awrden (v),"ordain, ordination"
Awrizinal (adj),original
Awrpuor (n),goitre
Awstrik (n),ostrich
Awt (v),"to settle down and get ready for eating, to partake a meal"
Awt (n),a block of wood used to block the wheel of a vehicle from moving on its own
Awtpa (n),a variety of fish
Azenda (n),agenda
Ba (v),"to serve, to make to eat (mother to a child)"
Ba ek ngo (adj),pale and white in appearance
Baal (n),baal
Babu (n),the Hindi term used for calling officers
Bachikhawm (n),"wild coriander, spiny coriander"
Badam (n),a peanut
Bahara (n),"a Hindi originated term for fare or rent, etc"
Bahla (v),"to be hindered, something which makes one fails to accomplish what one ought to be or accomplish, shortcomings"
Bahlana (n),"a hindrance, a hindering interruption"
Bahnuk hrei (n),a type of axe
Bahra (n),jungle yam
Bahra thlum (n),the sweet potato
Bahrik (n),the upper head
Bahriksam (n),the parting of the top hair
Bai (n),a Hindi originated term for brother
Bai (v),"lame, to be lame, to walk lamely"
Bai law (n),bye-law
Bai-bai (intjn),bye bye
Baibing (n),the sprout of edible arum
Baibul (n),the Bible
Baivai (v),to be in a dire strait or difficult situation
Bak (v),eat
Bák (v),"that is left unfinished, remaining, left to be done"
Bâk (n),a bat
Bâk sie leng hun (n),"dusk, the period after sunset and total dark"
Bak sie lenga leng (phrase),someone who roam around with no purpose
Bakbarep (n),the hair in the region of the temple
Bakchep (n),scissor
Bakin phuhlum a hla thei nawh (phrase),that refers to those who eat all what they have instead of preserving it for another time like a bat that cannot set aside a winged ant but eats it up all at once
Bakkei (v),literally a fight in which the fighters pull each other’s hair
Bakkhate (n),name of an edible plant
Bakkil (n),"hair pin, hair clipper"
Baksam (n),poetic word for hair
Bâksam (n),"requirement, that is being required"
Bâksamna (n),"shortage, deficiency, lack"
Bal (adj),"muddy, dirty, filthy, untidy"
Bâl (n),"yam, taro; a term used to refer to stems underneath (onion, potatoes, etc)"
Balab (n),bulb
Balens (n),balance
Balot (n),ballot
Baltrin (n),a Hindi originated term for bucket
Balun (n),balloon
Ban (n),"a post, pole, beam (of house, lamp, electric, etc)"
Ban (v),"to reach out the hand, to stretch, to reach, to arrive"
Bân (n),the arm
Bàn (v),"being dropped or expelled from one’s position, to cease, to stop, to hang up, etc"
Bân ât (n),a type of vaccination
Ban phák (v),to be able to reach
Bân phar (v),raising of one’s hand
Ban thleng (v),to reach or arrive at the designated target without a stopover
Bânbun (n),a bracelet
Bandal (adj),bundle
Bandh (n),bandh
Bang (n),"a wall, a partition"
Bang (adj),"unclean, rough, soiled"
Bâng (v),"quit, stop, to resign, to discontinue"
Bâng (n),"remnant, remainder, the rest"
Bange (n),the larva of yam
Bangkhai (n),"that remain, the leftover"
Bangkor (n),a species of buffalo
Bangkor (n),wild coriander also called ‘bachikhawm’
Bangla (n),bungalow
Banglai (n),the name of a bamboo partition in a Hmar house beyond the master’s bed
Bangran (n),a Hmar Ngurte sub clan
Bangru (n),the framework of the wall of a house
Bangthak (n),a winged insect irritating to human skin
Bangtung (n),the perpendicular split bamboos in a mat
Bangzâl (n),the horizontal split bamboos in a mat wall
Bânpuom (n),the muscle of the upper arm
Bânrêk (n),the wrist
Bânsan (v),"to renounce, to resign, to quit"
Bántlang (n),a variety of wild tree with edible fruit
Banzang (n),a Hmar Darngawn sub clan
Bapon (n),the dry stem of a yam
Baptis (v),baptise
Baptisma (n),baptised
Bapui (n),a Hmar Faihriem sub clan
Bâr (v),to stuff in the mouth
Bâr khat (n),a mouthful
Bara khon (v),"to regard, to attend, to pay attention to"
Barakhaih (v),"shock, being shocked!"
Barli (n),barley
Barlui (n),to force feed
Bas (n),a bus
Bàsam (n),poetical word for hair
Basha (n),a variety of fish
Bat (n),"owe, due, debt, credit"
Bàt (v),"to hook, to catch, to cast or carry a cloth over the shoulder"
Bathlâr (n),"the eaves of a house, the verandah, the porch"
Batieng (n),a type of Hmar basket
Batlieng (n),name of edible plant
Batliengpar (n),the flower part of an edible plant
Batlir (n),name of a tree
Batminton (n),badminton
Bau (n),mouth
Bau themthiem (n),"eloquent, one who speaks fluently"
Baua don pawl (n),those illiterates who appear Sunday school exams engaging others to write for them
Bauh (v),"a dog’s bark, to surprise someone from behind with a voice"
Bausuok (n),speech
Bauthiem (n),one who speaks well or an eloquent
Bauthra (n),sweet mouth
Baw (n),semen
Baw (v),"to lean upon, to pounce upon"
Bawar (n),a poetic word for chicken
Bawde (v),to be on top of another person or some other things
Bawi (n),a slave
Bawikawt (v),boycott
Bawisawm (v),to tend to or assist or take care of
Bawisawmtu (n),"one who look after (a patient or one who is in need of help), attendant"
Bawk (v),"in a resting position (of animal or human when unwell), to lie on the face"
Bawk (adv),"also, too, as well, likewise"
Bawk (cjn),"indeed, also, in a way"
Bâwk (n),forehead
Bâwk (adj),"to swell, to come into a bump, an excrescence, a swelling, protuberance, bump"
Bâwk (v),to tie up anything small in the corner of a cloth
Bâwk (v),"to give in extra, above average"
Bâwk kol (n),one with bald forehead
Bawkan (v),to bypass or takeover
Bâwkrang (n),a term used to call those peoples who apply vermilion on their foreheads (esp Hindus)
Bâwkte (n),"a booth, a hut, a temporary house"
Bâwkte Kut (n),a feast of tabernacles
Bawl (v),"construct, build (a house, etc)"
Bawlhlo (n),spices in a Hmar traditional cuisine
Bawlhmun (n),a place where a Hmar pre-Christian era priest perform their rites
Bawlpu (n),a Hmar traditional priest
Bawlte (n),a Hmar Ngente sub clan
Bawm (n),"a box, case, basket, a vessel of any kind, a coop; name of Hmar kindred tribe"
Bàwm (v),"to surround, to envelop, to cover"
Bawm phur thu (n),an unreliable words or story
Bawmrang (n),the name of a basket
Bawmsîn (n),name of insect
Bawng (n),a cow
Bawngchal (n),oxen
Bawngek (n),cow dung
Bawngnene (n),cow milk
Bawngnene khar (n),curd
Bawngpu (n),a cowherd
Bawngsa (n),a beef
Bawngtuthlaw (n),a spade
Bawngvengtu (n),a cowherd
Bawr (adj),"bunch, a cluster"
Bawrsaibe (n),"lady's finger, okra"
Bawrsap (n),a term derived from a Hindi word of ‘Bara Saheb’ meaning ‘big sir’ which mostly referred to the British’s Political Agent then and the district Commissioners now
Bawrsawm (adj),unhealthy
Bawsie (v),"to violate, to break (custom or law)"
Bawsietna (n),"violation of the law, at fault"
Bawsietu (n),"one who breaks the law, violator"
Bawt (v),"to contribute, to put forward (games)"
Bawta (n),the name of a certain kind of bamboo plaiting and cloth-weaving
Bawtakeisawi (n),the name of a certain kind of bamboo plaiting and cloth-weaving
Bawtapuon (n),name of a Hmar traditional shawl
Bawtol (n),bottle
Bawzui (v),"to follow-on, to carry on, to continue, to pursue"
Bazaar (n),a Hindi originated term for market
Bazar (n),an enclosed veranda at the back of a Hmar house
Be (n),the generic name for different species of beans; scar
Be (v),to bleat (as goat); to wear in the ear
Beai (n),a variety of ‘pea’
Beaichang (n),a variety of bird trap that uses ‘beai’ as bait
Bebawm (n),"extra or related parts, other portions besides the main part"
Bechep (n),a tong
Beherawt (n),a species of bean
Behlieng (n),pigeon pea
Behmang (n),soot caused by the action of fire on pots
Behna (n),the leaves of beans and a staple vegetable
Behna sithu hme (n),a Hmar special curry item of ‘behna’ cooked with ‘sithu’
Behnuoisun (n),winged bean
Behnuoitrum (n),a variety of beans
Bei (n),bread
Bei (v),"to try, to do, to work; to fight against, to assail"
Bei am sei Rûn dung (phrase),a consideration of how afar is hope or expectation as it is compared with the Run river which is considered to be long and far
Bei fan fan (v),"to strive to, to endeavour earnestly, to strive and attempt diligently or doggedly"
Beidong (v),"to be in despair, to lose hope"
Beidong lovin (adv),"without despair, patiently"
Beidong um (adv),"hopeless, disheartening"
Beidongna (n),discouragement
Beipai (n),pancreas
Beipehnek (n),flour added in curry to make the gravy sticky
Beiper (n),bread
Beiphek (n),bread
Beisei (n),"to expect, consider, hope"
Beisei bo (adj),hopeless
Beisei um (adj),hopeful
Beiseina (n),"hope, expectation"
Bek (n),the side of the head
Bêk (n),bag
Bêk (adv),"at least, at any rate, even then"
Bêk bêk (adv),"very, much, so much"
Bekan (n),soyabean
Bekanthu (n),fermented soyabean
Bekbawr (n),"face, the temple, the side of the face"
Bekir (n),the name of a species of beans
Bêkte (n),a shed or hut often without a roof
Bel (v),"to paste, to stick, to add to, addition; to be stung by a bee or poisonous leaf"
Bel (adj),smooth
Bêl (n),"a pot, a utensil"
Bèl (v),leaning on
Bêl sunga sa (adv),expression of something which is sure to come or happen
Belawi (n),"black eyed pea, cowpea"
Belawng (n),a variety of pea
Bêlbul (v),leaning on mostly
Belchieng (v),"to scrutinize, to examine closely"
Belchieng dawl (adj),"reliable, trustworthy"
Beled (n),blade
Bêlhemtu (n),"a potter, one who makes earthen pots"
Bêlpui (n),big pot
Bêlpui sa (n),meat cooked in such big pots in times of feast
Belsa (n),"an addition, supplementary"
Bêlte (n),small pot
Beltet (n),a small flying insect
Belthei (n),a wild fruit that resembles a pumpkin
Bèltlak (adj),"worth leaning on it, reliable"
Bêlvar (n),an aluminium pot
Bêm (adj),short and rounded shape
Bemkawng (n),name of a bird
Bèmkhuong (n),a pot
Ben (v),"to clap, slap, pat, smack, spank"
Benal (n),"okra, lady's finger"
Benathek (n),lullaby play song with clapping of hands
Beng (n),bank
Beng (v),to press tightly; eat (in a hurried manner)
Bengberep (v),to get settled (low start)
Bengkhon (adj),paying attention
Bengsik (adj),paying close attention
Bengtharin (adv),something which is to be taken up afresh
Bengthek (adj),"empty, without anything"
Bengtlalo (adj),"cruel, stupid, vicious, bad"
Bengtung (n),a basket
Bengvar (adj),"clever, enlightened, well-informed"
Benvon (adv),"incurable, chronic (pain or disease) that has been there for quite some time"
Bepor (n),the name of a species of beans
Bepui (n),"a variety of bean, Indian bean"
Bepuithlanei (n),the name of a species of beans
Beram (n),a sheep
Beram chal (n),"a ram, a sheep-fold"
Beram hmul (n),wool
Beram vengtu (n),a shepherd
Berampu (n),a shepherd
Beramte (n),a lamb
Beraw (n),incense; name of a tree
Berbu (n),a bowl
Berul (n),the snake gourd
Besal (n),the snake gourd
Bet (v),to stick to
Bete (n),"the name of a variety of small bean, rice bean"
Bething (n),chickpeas
Bethlanei (n),the name of a species of beans
Bethlieng (n),pigeon pea
Betlu (n),a Hmar Biete sub-clan
Betua (n),name of a variety of bamboo
Bi (v),"to look into, to spy into, to look at, to examine; wear or wrap (around the waist)"
Bi (n),a spot or hole
Bichar (v),"to discuss, to deliberate upon, to seriously discuss"
Bichil (adj),"close, too close"
Bie (v),"to speak to, to talk to; to propose for marriage; to offer a sacrifice to"
Biek (v),"to speak to, to talk to; to propose for marriage; to offer a sacrifice to"
Biekbuk (n),"place of worship, church"
Biekhlatna (n),a wireless telegram
Biekin (n),the church
Biekzin (n),"pilgrim, pilgrimage"
Biel (adj),"round, spherical, square, spherically"
Biel (n),"area, region, section"
Bielnu (n),a boy’s girlfriend
Bielpa (n),a girl’s boyfriend
Bieltu (n),one who is in charge of an area
Bieng (n),"the cheek, the side post of a door"
Bieng biek (v),to speak to one closely
